token_address,from_address,to_address,asset,amount,transfer_time,relation_type,source_type,confidence_score,evidence_note
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,8GKDFc1yfJh6kSgfrav9dzFRLPFRdHXPcCzePCyLadW2,7t2WVe7GDS5iS4i9vuRAxM5MkC7BGZmPnZmMvnRFWGo2,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,rMBKbsA45fSQYYi7qdNbYHb8oLJCrmsxxit33yCKLhw,7yzrtwcpszEJgQ57A8hipU8AHSDNveurTGearPHvVLAN,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,HSf53noWQxaFjrvGSojYrAK6FAarMxFs66wLZ1Ni5g39,84YJQc5wBLPJhGUoPVBdxPnjZ8MY943bTeHqhgYGKkAt,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,is6MTRHEgyFLNTfYcuV4QBWLjrZBfmhVNYR6ccgr8KV,8GKDFc1yfJh6kSgfrav9dzFRLPFRdHXPcCzePCyLadW2,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,9PA2QEx9G3crjUzdC7H6Z974B4WehXhRQHFBXfPwxb4o,8Txi7S8XbVWhrvCU7YMdGsyyycND6iWyxwADrE7vN5t6,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,CCimhn4Bz9NCPHPzaPCfaRMUYtoudvdxTvu4kTX181NK,8ZL8kK3tyqe4ptwDtT6gRLgAWgGpbR77FTGQbWBsrTqw,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,8fm4c4faGGTUe2s5f7az6Sc4cdFxLMjnmHFhn3Ph4Trq,8yXHLBjcBYMkdb6TbWk8PV7ZLNiwuAjJiEW4drbXttbV,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,41uCv6a1JPwZT4pDAN4AGvPosHVx2ndkNFEFgKLzd5wx,8zeCGpHArYXk175M28syraCp8EDFPERaHCXvGbne96p3,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,is6MTRHEgyFLNTfYcuV4QBWLjrZBfmhVNYR6ccgr8KV,97CPmXQv2mvWyVH8bNcb1sbsmTKPw3GfDTJiEGq2Nmmy,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
4TKYts6M7Y1RzW6xbHo92anF2LBrRMiFFsANoTr9pump,4wqHSjKEafv4DFnHKY3MXrKgk6FTUDD1th6fETZRYBB7,9Z53oainDRAQrMoMt9bH9NXicmQBrk1rUcf9V7F6Xfqi,SOL/USDC unknown,unknown,unknown,pre_buy_funding_candidate,GMGN native_transfer L1,0.6,疑似资金来源候选；金额/时间需要链上补查
