address,chain,token_symbol,token_address,gmgn_tags,address_type,token_source_type,funding_source_type,first_buy_time_utc,last_active_utc,holding_pct,holding_value_usd,buy_volume_usd,sell_volume_usd,sell_pct,total_profit_usd,realized_profit_usd,unrealized_profit_usd,token_source_address,funding_source,final_role,evidence_level,signal_direction,action_code,write_to_database,suggest_gmgn_track,review_priority,sikk_remark
2dB5siVm4h2pnFaLRezJQGjd9AR4aWq2CLt4Mb1orbNV,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"gmgn,top_holder,bundler",普通钱包,主动买入,路由/工具节点候选,01:53:37,02:52:04,1.001%,4236.14,7502.67,0,0.000%,-3350.16,0,-3350.16,未知,H8sMJSCQxfKiFTCfDR3DUMLPwcRbM61LGFJ8N4dK3WjS,普通交易钱包,E2,中性,A2,地址主档库,观察,中,Top holder但关键结构证据不足
GExMN6extw7JyLe3jENEZwULyyqbDxxcrfF44VFLvFAT,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"smart_degen,bundler",普通钱包,主动买入,路由/工具节点候选,00:28:46,02:55:33,0.404%,1704.37,4995.42,6251.89,70.028%,2957.83,2680.03,277.8,未知,BNuebGMyAsrLytsS13whc3qUqbnM9mVwUJcumD31m5zA,结果钱包,E4,正向,A4,"地址主档库,钱包结果档案库",是,高,Smart Money高结果，需复盘稳定性
Dfi33bzKPRk7yrRxA8q9MB4TR9FodZ51wK9kkqbsrq4v,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"gmgn,fresh_wallet,top_holder,bundler",普通钱包,主动买入,路由/工具节点候选,01:10:03,02:00:03,1.952%,8257.83,42581.27,24074.22,70.045%,-10978.05,-1694.16,-9283.89,未知,F7p3dFrjRTbtRp8FRF6qHLomXbKRBzpvBLjtQcfcgmNe,接盘鲸鱼/派发风险地址,R2,风险,R,"风险地址库,地址主档库",否,高,高买入且大比例卖出/结果不稳定
4oqLr7WAC6VeLWnhDkw8QA4HFbxsT8iAgNbCXmNJzexZ,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"smart_degen,bundler",普通钱包,主动买入,路由/工具节点候选,02:51:54,03:15:38,0.033%,138.46,887.89,1158.62,88.734%,416.58,377.31,39.27,未知,GfjD8eab6ebLRnbvjMHo2P11JFKrv2xrkVXVdQtktwTk,普通交易钱包,E1,中性,A1,地址主档库,否,低,低权重记录
DZwgxGwTzaqFV91dBnoTeJWbirA4MCjwVNJ5jFfCpsSC,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"smart_degen,bundler",普通钱包,主动买入,路由/工具节点候选,02:50:57,03:04:43,0.083%,351.33,893.3,839.61,66.110%,301.7,251.71,49.98,未知,8J7NGPfkD4oF2Pu8zXbxNvNfqhjaW668WnkNu7VrUv17,普通交易钱包,E1,中性,A1,地址主档库,否,低,低权重记录
FAMEcanszfKG6WrXstFZjhpcsRkBA6Y59K2m3Qsjv5sa,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"smart_degen,bundler,paper_hands",普通钱包,主动买入,路由/工具节点候选,00:47:05,00:47:40,0.000%,0,1747.31,1789.82,100.000%,37.16,37.16,0,未知,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,普通交易钱包,E1,中性,A1,地址主档库,否,低,低权重记录
A7Nka4vVv4dqv7qCEVBE4eRVNPrnrtf6bcgWifzLPmpx,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"smart_degen,axiom,bundler,paper_hands",普通钱包,主动买入,路由/工具节点候选,02:49:20,02:50:42,0.000%,0,227.89,246.3,100.000%,16.77,16.77,0,未知,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,普通交易钱包,E1,中性,A1,地址主档库,否,低,低权重记录
J2ECnk4MJQ8boxN77ss8fTkQRQxG7JmEUEGbARjxBPaz,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"smart_degen,axiom,bundler,paper_hands",普通钱包,主动买入,路由/工具节点候选,02:52:14,02:55:51,0.000%,0,676.88,687.54,100.000%,9.99,9.99,0,未知,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,普通交易钱包,E1,中性,A1,地址主档库,否,低,低权重记录
2JLTKcECTybkCEp64v7V4P4FijjKiMgKnFkX2WwRWTM6,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"smart_degen,axiom,bundler,paper_hands",普通钱包,主动买入,路由/工具节点候选,01:13:25,01:18:53,0.000%,0,1048.03,954.31,100.000%,-95.38,-95.38,0,未知,7RXn9SgZi41SnZh6PEajvUYo19A1mprxFSj8Ss8iDPYz,普通交易钱包,E1,中性,A1,地址主档库,否,低,低权重记录
EXUzBTmHcYYwoHXjVi4zRBrj92iAcbnDRnsjs5SZ5PoC,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"smart_degen,axiom,padre,bundler",普通钱包,主动买入,路由/工具节点候选,00:49:17,02:00:40,0.102%,429.53,889.54,0,0.000%,-471.95,0,-471.95,未知,iGdFcQoyR2MwbXMHQskhmNsqddZ6rinsipHc4TNSdwu,普通交易钱包,E1,中性,A1,地址主档库,否,低,低权重记录
97K6nsFhBWDKwQf6heDDhDtsCRC4779LPHSFZkc2zqK4,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"kol,gmgn,transfer_in",普通钱包,转入,路由/工具节点候选,01:30:28,02:33:59,0.000%,0,2994.28,5596.42,100.000%,309.03,309.03,0,BiCQ7k6afuhQ9qjta32pxwaEWTTKYnF7unBVL3wg8aB8,69SNcRC8NqjHBSXEcugCN5oFKRQoKmddmWzZYc3tqtxk,分发派发钱包,E4/R2,结构+风险,A4+R,"地址主档库,Token来源库,风险地址库,地址关系边库",是,高,Token转入后高比例卖出，疑似分发后派发
GVQZexLwKDBsEmkJ2fS9rhC4dxvSggFF2sjvBnt4SjN2,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"gmgn,fresh_wallet,top_holder",普通钱包,主动买入,路由/工具节点候选,00:21:01,02:54:15,1.007%,4260.25,1414.76,621.28,5.026%,3442.84,579.6,2863.24,未知,6DzirPhgXBUnCauAJogRhZweZ4GjNnD337k7DHhGxVXr,普通交易钱包,E2,中性,A2,地址主档库,观察,中,Top holder但关键结构证据不足
D6kXNABjhGYW46tyX4Xtx9wrsYAHRxs18TqxDyX18iNZ,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"trojan,transfer_in",普通钱包,转入,路由/工具节点候选,03:01:37,03:03:22,0.879%,3718.81,3622.62,10071.17,63.411%,5181.72,5126.02,55.7,5hkrcsizRezd5S1ek6NcvDSmSQcBxnTtoJezRvdPwwhp,E9wq5iKcQ55Jwnm7AckXd6MWQazLx5kW2w9gaPJ4QKKt,分发派发钱包,E4/R2,结构+风险,A4+R,"地址主档库,Token来源库,风险地址库,地址关系边库",是,高,Token转入后高比例卖出，疑似分发后派发
suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"kol,axiom,photon,bundler,paper_hands",普通钱包,主动买入,路由/工具节点候选,00:17:59,00:20:15,0.000%,0,281.5,0,0.000%,511.99,511.99,0,未知,7NAd2EpYGGeFofpyvgehSXhH5vg6Ry6VRMW2Y6jiqCu1,结果钱包/KOL钱包,E3,正向+社交,A3,"地址主档库,钱包结果档案库",观察,中,KOL参与，注意后续派发
7cNfaRiuyhaC56nUxpupS4YUK3h5RdwzrmukYTmPph1j,sol,ewon,12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy,"fresh_wallet,top_holder",普通钱包,主动买入,路由/工具节点候选,03:04:28,03:05:15,1.565%,6623.18,8403.49,0,0.000%,-1782.69,0,-1782.69,未知,37NaQDusi5dnMxzVFC7sni8pE4evFGk3RgoLa2nBbGyV,普通交易钱包,E2,中性,A2,地址主档库,观察,中,Top holder但关键结构证据不足
