address	chain	token_symbol	token_address	gmgn_tags	address_type	token_source_type	funding_source_type	first_buy_time_utc	last_active_utc	holding_pct	holding_value_usd	buy_volume_usd	sell_volume_usd	sell_pct	total_profit_usd	realized_profit_usd	unrealized_profit_usd	token_source_address	funding_source	final_role	evidence_level	signal_direction	action_code	write_to_database	suggest_gmgn_track	review_priority	sikk_remark
GExMN6extw7JyLe3jENEZwULyyqbDxxcrfF44VFLvFAT	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	smart_degen,bundler	普通钱包	主动买入	路由/工具节点候选	00:28:46	02:52:31	0.808%	2827.06	4995.42	4532.50	40.055%	2361.14	2387.21	-26.07		BNuebGMyAsrLytsS13whc3qUqbnM9mVwUJcumD31m5zA	结果钱包	E4	正向	A4	地址主档库,钱包结果档案库	是	高	Smart Money高结果，需复盘稳定性
4oqLr7WAC6VeLWnhDkw8QA4HFbxsT8iAgNbCXmNJzexZ	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	smart_degen,bundler	普通钱包	主动买入	路由/工具节点候选	02:51:54	02:52:33	0.294%	1028.43	887.89	0	0.000%	140.07	0	140.07		GfjD8eab6ebLRnbvjMHo2P11JFKrv2xrkVXVdQtktwTk	普通交易钱包	E1	中性	A1	地址主档库	否	低	低权重记录
DZwgxGwTzaqFV91dBnoTeJWbirA4MCjwVNJ5jFfCpsSC	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	smart_degen,bundler	普通钱包	主动买入	路由/工具节点候选	02:50:57	02:52:20	0.247%	864.2	893.3	0	0.000%	-29.57	0	-29.57		8J7NGPfkD4oF2Pu8zXbxNvNfqhjaW668WnkNu7VrUv17	普通交易钱包	E1	中性	A1	地址主档库	否	低	低权重记录
5AxPHM7K7qN11cJ9VJcjcvdWoEyvtCixY2g4yvXL8AeM	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	smart_degen,bundler,paper_hands	普通钱包	主动买入	路由/工具节点候选	02:52:01	02:52:21	0.031%	108.24	273.87	223.18	57.052%	56.74	47.74	9		fr6yQkDmWy6R6pecbUsxXaw6EvRJznZ2HsK5frQgud8	普通交易钱包	E1	中性	A1	地址主档库	否	低	低权重记录
J2ECnk4MJQ8boxN77ss8fTkQRQxG7JmEUEGbARjxBPaz	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	smart_degen,axiom,bundler,paper_hands	普通钱包	主动买入	路由/工具节点候选	02:52:14	02:52:14	0.089%	311.73	676.88	313.46	34.110%	-52.33	-116.46	64.13		5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9	普通交易钱包	E1	中性	A1	地址主档库	否	低	低权重记录
2JLTKcECTybkCEp64v7V4P4FijjKiMgKnFkX2WwRWTM6	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	smart_degen,axiom,bundler,paper_hands	普通钱包	主动买入	路由/工具节点候选	01:13:25	01:18:53	0.000%	0	1048.03	954.31	100.000%	-95.38	-95.38	0		7RXn9SgZi41SnZh6PEajvUYo19A1mprxFSj8Ss8iDPYz	普通交易钱包	E1	中性	A1	地址主档库	否	低	低权重记录
EXUzBTmHcYYwoHXjVi4zRBrj92iAcbnDRnsjs5SZ5PoC	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	smart_degen,axiom,padre,bundler	普通钱包	主动买入	路由/工具节点候选	00:49:17	02:00:40	0.102%	356.23	889.54	0	0.000%	-545.24	0	-545.24		iGdFcQoyR2MwbXMHQskhmNsqddZ6rinsipHc4TNSdwu	普通交易钱包	E1	中性	A1	地址主档库	否	低	低权重记录
Dfi33bzKPRk7yrRxA8q9MB4TR9FodZ51wK9kkqbsrq4v	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	gmgn,fresh_wallet,top_holder,bundler	普通钱包	主动买入	路由/工具节点候选	01:10:03	02:00:03	1.952%	6518.65	42581.27	24074.22	70.045%	-12717.23	-1694.16	-11023.07		F7p3dFrjRTbtRp8FRF6qHLomXbKRBzpvBLjtQcfcgmNe	接盘鲸鱼/派发风险地址	R2	风险	R	风险地址库,地址主档库	否	高	高买入且大比例卖出/结果不稳定
97K6nsFhBWDKwQf6heDDhDtsCRC4779LPHSFZkc2zqK4	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	kol,gmgn,transfer_in	普通钱包	转入	路由/工具节点候选	01:30:28	02:33:59	0.000%	0	2994.28	5596.42	100.000%	309.03	309.03	0	BiCQ7k6afuhQ9qjta32pxwaEWTTKYnF7unBVL3wg8aB8	69SNcRC8NqjHBSXEcugCN5oFKRQoKmddmWzZYc3tqtxk	分发派发钱包	E4/R2	结构+风险	A4+R	地址主档库,Token来源库,风险地址库,地址关系边库	是	高	Token转入后高比例卖出，疑似分发后派发
FixmSpsBa7ew26gWdiqpoMAgKRFgbSXFbGAgfMZw67X	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	padre,top_holder	普通钱包	主动买入	路由/工具节点候选	02:52:42	02:52:52	1.151%	3845.79	3751.23	0	0.000%	45.52	0	45.52		ATFRUwvyMh61w2Ab6AZxUyxsAfiiuG1RqL6iv3Vi9q2B	普通交易钱包	E2	中性	A2	地址主档库	观察	中	Top holder但关键结构证据不足
suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	kol,axiom,photon,bundler,paper_hands	普通钱包	主动买入	路由/工具节点候选	00:17:59	00:20:15	0.000%	0	281.5	0	0.000%	511.99	511.99	0		7NAd2EpYGGeFofpyvgehSXhH5vg6Ry6VRMW2Y6jiqCu1	结果钱包/KOL钱包	E3	正向+社交	A3	地址主档库,钱包结果档案库	观察	中	KOL参与，注意后续派发
D6kXNABjhGYW46tyX4Xtx9wrsYAHRxs18TqxDyX18iNZ	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	trojan,transfer_in,paper_hands	普通钱包	转入	路由/工具节点候选	00:29:32	01:18:52	0.000%	0	0	10071.17	100.000%	5126.02	5126.02	0	5hkrcsizRezd5S1ek6NcvDSmSQcBxnTtoJezRvdPwwhp	E9wq5iKcQ55Jwnm7AckXd6MWQazLx5kW2w9gaPJ4QKKt	分发派发钱包	E4/R2	结构+风险	A4+R	地址主档库,Token来源库,风险地址库,地址关系边库	是	高	Token转入后高比例卖出，疑似分发后派发
F7KSBM7SVVYUczJTCLpLJFPDEBrmrfi9ZiGru1BzAuwi	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	kol,gmgn,wash_trader,bundler,paper_hands	普通钱包	主动买入	路由/工具节点候选	02:39:23	02:46:00	0.000%	0	2970.69	1691.15	100.000%	-1327.99	-1327.99	0		69SNcRC8NqjHBSXEcugCN5oFKRQoKmddmWzZYc3tqtxk	结果钱包/KOL钱包	E3	正向+社交	A3	地址主档库,钱包结果档案库	观察	中	KOL参与，注意后续派发
BM9CcyErJcu2mjrFvUsRRrD3snGeHDDVirJLvL6EjvMN	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	sandwich_bot,bluechip_owner,rat_trader,transfer_in	普通钱包	转入	路由/工具节点候选	00:19:08	02:51:22	0.031%	110.04	0	0	0.000%	0	0	0		E8aQ18Xbr8FgKq5M7cQnuvJUwU8ZsningNLhcEDAPD8Y	可疑中转节点	R2	风险	R	风险地址库,地址关系边库	否	高	rat_trader/可疑转入，保留关系边
8psNvWTrdNTiVRNzAgsou9kETXNJm2SXZyaKuJraVRtf	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	sandwich_bot,bluechip_owner,rat_trader,transfer_in	普通钱包	转入	路由/工具节点候选	00:19:16	02:53:22	0.014%	51.05	0	388.69	78.113%	0.04	0.04	0	ARu4n5mFdZogZAravu7CcizaojWnS6oqka37gdLT5SZn	DhFPu6pyMjnpqWEyct53d93vNp7puSLLnv4sm9VXwkiS	可疑中转节点	R2	风险	R	风险地址库,地址关系边库	否	高	rat_trader/可疑转入，保留关系边
