field	value	remark
token_symbol	ewon	
token_name	ewon mesk	
token_address	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	
chain	sol	
price_usd	0.00034423	
market_cap_calc_usd	344217.23	price*circulating_supply
liquidity_usd	53907.98	
holder_count	2604	
creation_time	2026-04-29 00:16:59 UTC	
open_time	2026-04-29 00:18:12 UTC	
launchpad	Pump.fun	
main_pool	Gr3k2DGNLnFVZqwhvSBE9xLxe4CN1uGtB3RACCbsJH4	
creator_address	bwamJzztZsepfkteWRChggmXuiiCQvpLqPietdNfSXa	
creator_token_status	creator_close	
creator_open_count	609	
cto_flag	1	
gmgn_url	https://gmgn.ai/sol/token/12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	
website	https://www.reuters.com/legal/litigation/openai-trial-pitting-elon-musk-against-sam-altman-kicks-off-2026-04-28/	
twitter_username	DramaAlert/status/2049281729186222405	
