timestamp,open,high,low,close,volume,amount,market_cap
1777715280,3.98113349999999985e-05,4.77072569999999988e-05,3.92720080000000013e-05,4.4288103999999998e-05,6786.0001302628998,156512159.950455993,44288.1039999999994
1777715340,4.4288103999999998e-05,5.00176309999999984e-05,4.03169060000000033e-05,4.37455240000000022e-05,5454.64766618999965,125043550.998595014,43745.5240000000049
1777715400,4.37455240000000022e-05,4.95851710000000016e-05,4.1253388000000001e-05,4.52256249999999978e-05,5503.15438687999995,122222271.84256804,45225.625
1777715460,4.52256249999999978e-05,4.52256249999999978e-05,4.01804679999999984e-05,4.41272270000000005e-05,3869.51076933000013,89514977.9840059876,44127.226999999999
1777715520,4.41272270000000005e-05,4.41272270000000005e-05,3.86406580000000027e-05,3.95155740000000005e-05,4866.67705184999977,118614543.490786016,39515.5740000000005
1777715580,3.95155740000000005e-05,4.70591600000000023e-05,3.77701350000000019e-05,4.44378460000000025e-05,6872.0862649540004,160845184.334387958,44437.846000000005
1777715640,4.44378460000000025e-05,4.59674580000000017e-05,3.89350679999999984e-05,4.21860439999999993e-05,2782.60128906,65485561.4073870108,42186.0440000000017
1777715700,4.21860439999999993e-05,4.64202919999999981e-05,3.84456990000000008e-05,3.86640220000000013e-05,6032.69542935000027,143063955.204020947,38664.0220000000045
1777715760,3.86640220000000013e-05,4.06412670000000031e-05,3.7319067999999999e-05,3.82041260000000001e-05,3382.32646819000001,87153185.8450459689,38204.1259999999966
1777715820,3.82041260000000001e-05,4.35777969999999999e-05,3.78595280000000023e-05,4.10670419999999999e-05,3321.82331569000007,80815825.4705149978,41067.0420000000013
1777715880,4.10670419999999999e-05,4.52611380000000034e-05,3.86525129999999985e-05,4.39985279999999989e-05,4136.38198963000013,98561548.1170860082,43998.5279999999984
1777715940,4.39985279999999989e-05,4.81704880000000029e-05,4.18524239999999983e-05,4.75817309999999969e-05,2585.48241933000008,57826571.1022829935,47581.7309999999998
1777716000,4.75817309999999969e-05,5.32048149999999969e-05,4.59191010000000016e-05,4.95471369999999999e-05,3274.88007956000001,65389559.5942579955,49547.1370000000024
1777716060,4.95471369999999999e-05,6.45999899999999974e-05,4.87404380000000024e-05,5.61528610000000024e-05,3954.28864527999986,72284566.8477630168,56152.8610000000044
1777716120,5.61528610000000024e-05,5.81380090000000027e-05,4.96312050000000004e-05,5.31937019999999974e-05,6001.28621344000021,111356884.979803026,53193.7019999999975
1777716180,5.31937019999999974e-05,5.78842630000000029e-05,5.24589889999999969e-05,5.51043749999999987e-05,3955.2186741999999,72617504.6006679833,55104.375
1777716240,5.51043749999999987e-05,5.85201270000000029e-05,4.59106019999999993e-05,4.64936450000000013e-05,4903.08590900299987,91194646.3643610179,46493.6450000000041
