timestamp,open,high,low,close,volume,amount,market_cap
1777558800,4.17000190000000026e-05,5.66897300000000025e-05,4.02368629999999997e-05,5.04857410000000023e-05,10917.5927222499995,227437217.849707127,50485.684506455822
1777559100,5.04857410000000023e-05,6.25147370000000009e-05,4.00628300000000008e-05,5.46009660000000015e-05,9213.57557672000075,173848528.037999094,54600.9049015190467
1777559400,5.46009660000000015e-05,5.8980095000000001e-05,5.1209399000000002e-05,5.31780820000000024e-05,4852.70729950999976,89152242.0132640302,53178.0224937262465
1777559700,5.31780820000000024e-05,5.32558169999999991e-05,3.93915970000000026e-05,4.21398629999999983e-05,4315.98477470000034,96883882.3519850075,42139.8158454933
1777560000,4.21398629999999983e-05,4.25861589999999968e-05,3.08540849999999989e-05,3.63501959999999987e-05,6376.42635506999977,179088948.289323002,36350.1553241306756
1777560300,3.63501959999999987e-05,4.28404899999999968e-05,3.27887980000000014e-05,4.20539000000000007e-05,2663.84891586999993,69469526.8814079911,42053.8529416859019
1777560600,4.20539000000000007e-05,4.2807810999999997e-05,3.95154040000000021e-05,4.1194876000000002e-05,1474.74889781000002,35997300.4890020043,41194.8299029337577
1777560900,4.1194876000000002e-05,4.1194876000000002e-05,3.11557060000000003e-05,3.88451810000000001e-05,2247.8318393200002,63189957.6255730018,38845.1375322424647
1777561200,3.88451810000000001e-05,3.97683650000000012e-05,3.49914740000000009e-05,3.49914740000000009e-05,652.786671930000011,17299312.903583996,34991.4348445405922
1777561500,3.49914740000000009e-05,3.97608819999999982e-05,3.49914740000000009e-05,3.82481439999999976e-05,952.087066736999986,25270970.9814279974,38248.1012003268625
1777561800,3.82481439999999976e-05,4.48735580000000019e-05,3.82481439999999976e-05,4.15488469999999996e-05,1761.61107444999993,41754337.4908719957,41548.8005068402053
1777562100,4.15488469999999996e-05,4.98073830000000004e-05,4.13316539999999968e-05,4.84549079999999977e-05,1716.02268804999994,36646216.4502939954,48454.8537789579423
1777562400,4.84549079999999977e-05,4.84549079999999977e-05,3.92885079999999968e-05,3.92885079999999968e-05,1455.53122443000007,33398687.4284119979,39288.4640361595448
1777562700,3.92885079999999968e-05,3.92931339999999979e-05,3.34451270000000033e-05,3.54708110000000028e-05,2335.11207270000023,64392656.4610650167,35470.771308162497
1777563000,3.54708110000000028e-05,3.55000870000000003e-05,3.43761970000000031e-05,3.54689029999999967e-05,224.678580089999997,6405821.31067999825,35468.8633102975364
1777563300,3.54689029999999967e-05,3.89306610000000032e-05,3.43439429999999992e-05,3.75192570000000008e-05,755.195356660000016,20328475.2180650011,37519.2150159514204
1777563600,3.75192570000000008e-05,3.75192570000000008e-05,3.58235769999999974e-05,3.58235769999999974e-05,219.971895060000008,6054039.47094000038,35823.5369134173379
1777563900,3.58235769999999974e-05,3.58235769999999974e-05,2.23356739999999992e-05,2.40791589999999993e-05,2380.6859602200002,90115659.7225809991,24079.1320554210797
