统计类型,分组,关闭仓位数,盈利仓位数,胜率_pct,平均收益率_pct,中位数收益率_pct,总收益SOL,平均最大浮盈_pct,平均最大浮亏_pct,最佳单笔_pct,最差单笔_pct
wallet_structure_status,UNKNOWN,3,3,100.0,284.454,343.0812,0.0,211.044,0.0,497.2784,13.0025
failure_type,STRUCTURE_WEAKENING,3,3,100.0,284.454,343.0812,0.0,211.044,0.0,497.2784,13.0025
wallet_structure_status_x_signal_level,UNKNOWN|S4_强确认信号,3,3,100.0,284.454,343.0812,0.0,211.044,0.0,497.2784,13.0025
