timestamp,open,high,low,close,volume,amount,market_cap
1777397880,9.79581890000000067e-06,1.11634450000000003e-05,9.25992310000000042e-06,1.10291939999999996e-05,433.787718139999981,43115123.2669280022,11028.99624655158
1777397940,1.10291939999999996e-05,1.60150850000000008e-05,1.10291939999999996e-05,1.60150850000000008e-05,892.259351550000019,66668742.4799029976,16014.7978495259504
1777398000,1.60150850000000008e-05,1.66310859999999991e-05,1.50220930000000006e-05,1.50220930000000006e-05,485.379146289999994,30658242.9421159998,15021.8236538725105
1777398060,1.50220930000000006e-05,1.50220930000000006e-05,1.40327619999999999e-05,1.45694339999999995e-05,263.359637640000017,18436999.4925870001,14569.1727700483789
1777398120,1.45694339999999995e-05,1.46479499999999992e-05,1.44631030000000004e-05,1.44631030000000004e-05,14.4359933900000001,988361.629240000038,14462.8436765632105
1777398180,1.44631030000000004e-05,1.46499039999999994e-05,1.40391680000000002e-05,1.40882869999999997e-05,252.518497609999997,17940195.9647460021,14088.0343970140893
1777398240,1.40882869999999997e-05,1.44944990000000005e-05,1.40719440000000003e-05,1.44944990000000005e-05,77.4603091400000068,5427645.95461800136,14494.2391136329297
1777398300,1.44944990000000005e-05,1.86196430000000014e-05,1.44944990000000005e-05,1.60985340000000015e-05,1059.86067724000009,63286217.0740219876,16098.2453532853815
1777398360,1.60985340000000015e-05,2.25982299999999986e-05,1.39644469999999999e-05,2.10635080000000011e-05,2036.62617387,112530913.591124028,21063.1303313015596
1777398420,2.10635080000000011e-05,2.21798210000000014e-05,1.90809169999999987e-05,2.06270600000000017e-05,770.344421079999961,37886713.1341599971,20626.6901568142021
1777398480,2.06270600000000017e-05,2.51135279999999993e-05,2.03669399999999992e-05,2.51135279999999993e-05,1205.36635432999992,51535475.2365549877,25113.0777144429594
1777398540,2.51135279999999993e-05,2.55275109999999992e-05,1.71602709999999997e-05,1.9306792000000001e-05,2058.65261379000003,102433117.203163028,19306.4458292194395
1777398600,1.9306792000000001e-05,2.06589160000000001e-05,1.80420809999999993e-05,1.8571640999999999e-05,577.469731389999993,29807024.9732310027,18571.3080104768705
1777398660,1.8571640999999999e-05,1.90601160000000011e-05,1.76536349999999989e-05,1.88732390000000009e-05,463.152585610000017,25294024.8137039989,18872.9006028247313
1777398720,1.88732390000000009e-05,2.16750589999999997e-05,1.88732390000000009e-05,2.16750589999999997e-05,595.176597430000015,28521694.8880109973,21674.670366192131
