timestamp,time_utc,open,high,low,close,volume,market_cap,volume_ma20,rvol,obv,cmf20,mfi14,atr14,atr_pct,avwap,swing,structure_tag,lower_wick_ratio,accumulation_score,score_reasons
1777707780,2026-05-02 07:43:00 UTC,9.4499139e-05,9.732639e-05,9.0743786e-05,9.6609919e-05,3090.24057716,96607.12301233422,,,0.0,,,,,9.489336499999999e-05,,,0.5704965694427323,40,未继续大幅创新低;明显下影线;接近/站上开盘AVWAP
1777707840,2026-05-02 07:44:00 UTC,9.6609919e-05,9.6609919e-05,8.4573987e-05,9.0538495e-05,4146.8993649,90535.8747254162,,,-4146.8993649,,,,,9.241843459704334e-05,,,0.4955584660996749,25,未继续大幅创新低;明显下影线
1777707900,2026-05-02 07:45:00 UTC,9.0538495e-05,9.0751328e-05,8.2855671e-05,8.5620687e-05,3849.40867867,85618.20905169753,,,-7996.30804357,,,,,9.033195211708972e-05,,,0.3501945436586221,25,未继续大幅创新低;明显下影线
1777707960,2026-05-02 07:46:00 UTC,8.5620687e-05,9.0930542e-05,8.4829046e-05,8.8611618e-05,2674.89274671,88609.05349116347,,,-5321.41529686,,,,,8.990272796096251e-05,,,0.1297453935887199,30,未继续大幅创新低;接近/站上开盘AVWAP
1777708020,2026-05-02 07:47:00 UTC,8.8611618e-05,8.932314e-05,7.8897901e-05,8.5410484e-05,4529.7646205,85408.01213518255,,,-9851.179917360001,,,,,8.857561516385178e-05,,,0.6246938799196836,25,未继续大幅创新低;明显下影线
1777708080,2026-05-02 07:48:00 UTC,8.5410484e-05,8.6570972e-05,7.2256267e-05,7.954184e-05,3881.43271245,79539.53797960855,,,-13732.61262981,,,,,8.69792432985879e-05,SL,,0.5089572575893109,25,未继续大幅创新低;明显下影线
1777708140,2026-05-02 07:49:00 UTC,7.954184e-05,8.9787487e-05,7.948606e-05,8.9718823e-05,4338.41221274,89716.22644754357,,,-9394.200417070002,,,,,8.68731268824864e-05,,,0.0054147837964583865,30,未继续大幅创新低;接近/站上开盘AVWAP
1777708200,2026-05-02 07:50:00 UTC,8.9718823e-05,9.6625473e-05,8.7066774e-05,9.6510777e-05,3583.079552585,96507.98388160284,,,-5811.120864485002,,,,,8.765035210853225e-05,,,0.27744874067067155,50,未继续大幅创新低;OBV上升/未跟随创新低;接近/站上开盘AVWAP
1777708260,2026-05-02 07:51:00 UTC,9.6510777e-05,0.0001070458,9.5319939e-05,0.0001011135,4124.16670322,101110.5736741965,,,-1686.9541612650019,,,,,8.927857438877996e-05,SH,,0.10155655094325206,50,未继续大幅创新低;OBV上升/未跟随创新低;接近/站上开盘AVWAP
1777708320,2026-05-02 07:52:00 UTC,0.0001011135,0.0001011135,8.8471659e-05,9.3457427e-05,3486.8679711,93454.72224860519,,,-5173.822132365001,,,,,8.974733707030887e-05,,,0.39438622903104065,60,未继续大幅创新低;OBV上升/未跟随创新低;明显下影线;接近/站上开盘AVWAP
1777708380,2026-05-02 07:53:00 UTC,9.3457427e-05,9.3480532e-05,8.0736674e-05,8.4644293e-05,4734.020423993,84641.84330951629,,,-9907.842556358002,,,,,8.936136079103668e-05,,,0.30662763191492004,15,未继续大幅创新低
1777708440,2026-05-02 07:54:00 UTC,8.4644293e-05,8.4644293e-05,7.4861033e-05,7.9232186e-05,3171.70358894,79229.89294130498,,,-13079.546145298002,,,,,8.868112394186887e-05,,,0.44679922643372455,25,未继续大幅创新低;明显下影线
1777708500,2026-05-02 07:55:00 UTC,7.9232186e-05,8.2119838e-05,7.5003158e-05,8.0687467e-05,3860.55824866,80685.13182401755,,,-9218.987896638002,,,,,8.794672868443549e-05,,,0.5942416969710597,25,未继续大幅创新低;明显下影线
