address,gmgn_note,reason,action
9EnihnVnjGfCmaqKdiKbvaSRB6EVkvPF9rSYLqPhMufg,CLIPLIN-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=0.0；hold=0.31937456081904103；sell_ratio=0.0,risk_watch
Gya9LkAerTRDtWuPV99ASCvi91E9K5URBh2dppM8XRWm,CLIPLIN-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-1482.679967243609；hold=0.020711311498683；sell_ratio=0.0,risk_watch
HCDrHB1TfcgQbvjEzrKGWfka2VoiKsAmR4emR9fruUtm,CLIPLIN-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=-1333.4623702063802；hold=0.018311514988723；sell_ratio=0.0,risk_watch
FancEowvdCuCxdvLjU7kCKfwH6Y6JUcvYvvVhf6wGML6,CLIPLIN-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=-1249.8610413261288；hold=0.017386936078181；sell_ratio=0.0,risk_watch
8Xv2K7pBqCy11kmbQvtbeLo7Pa46NEMyk7iGnVm1aLNN,CLIPLIN-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=117.16600275935525；hold=0.016075876616682；sell_ratio=0.5061615306517565,risk_watch
63KNjndrYuS9QEiVsiZmyKNcT8sMgSjGwWqYmSXxc6V8,CLIPLIN-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=-1189.4910761416568；hold=0.015565459134752；sell_ratio=0.0,risk_watch
3gaUUtMxFbEwUNZHGFeR1o2DRdWXoEcW3WSJmqrrsMrj,CLIPLIN-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=-1136.9821254389194；hold=0.01443333477683；sell_ratio=0.0,risk_watch
Bw4p3nv481wFUXdXCyEztteYZPDiotL99zaozTdfZPPB,CLIPLIN-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=axiom,top_holder；profit=-903.1773868884374；hold=0.013083804421683；sell_ratio=0.0",risk_watch
6oVxn3C3xwETqdvNjFZTUkFCHnJGU5VSieQfEqBZwhR,CLIPLIN-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=-983.6953648032253；hold=0.012595789434726；sell_ratio=0.0,risk_watch
3AV9TWvBDoS6bJsgBPWzAp1379Nu4VPb96gha1KkqyiP,CLIPLIN-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=top_holder,bundler；profit=-982.9990313989802；hold=0.011341576711332001；sell_ratio=0.0",risk_watch
54hKGbHbWMp4wa19yGUzEVCi6L5kZiHchjFyJ3RKjfqy,CLIPLIN-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=-839.9208446141536；hold=0.010057148528039999；sell_ratio=0.0,risk_watch
FeLa4fypfDZQTGrxsjbYbHHC6Zzh2te3JSoXf4qjdFV5,CLIPLIN-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-810.6987824511762；hold=0.009416262892337；sell_ratio=0.0,risk_watch
4XVFms5eHHgGmEfeLZG7ZezQuALVjTAUoVBbzLH6Wo8N,CLIPLIN-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-873.1807140635526；hold=0.009106147975382001；sell_ratio=0.0,risk_watch
Dqp6nagQv3WjfLHFb1dL6vCSDvz9Vq4zTDNHjvFztPiw,CLIPLIN-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=-686.4702325055728；hold=0.007873179617712；sell_ratio=0.0,risk_watch
HFcRiD9bAwgmqhZP6QtnedZLd6PvncK7rE6oVHeRJS2k,CLIPLIN-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=-577.0233326136453；hold=0.00741343969456；sell_ratio=0.0,risk_watch
4d92Syc3vQkSd1nf3QHiZTVSu2vG8vrUxwdNtb7Uw2Cv,CLIPLIN-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=axiom；profit=83.21853154849788；hold=0.007140621495384999；sell_ratio=0.6724499662351731,risk_watch
3fL2nYe9KKkVF843MYJykwDWKMZFi1cD821wCAjT1atQ,CLIPLIN-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=axiom；profit=-127.15094435733738；hold=0.006948404784048；sell_ratio=0.4254477687433272,risk_watch
BL58BpXfAiFzXBvzmj1SA9Bv4TJmS4UQK2KymEaeXZVt,CLIPLIN-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-542.2574123034393；hold=0.006753063190424；sell_ratio=0.0,risk_watch
B2G3SP63qQAXa5aknT1eQbG77U1h6eFLzzkmpYDvGR16,CLIPLIN-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=axiom；profit=-120.10114552250931；hold=0.00629962910989；sell_ratio=0.41838632709702955,risk_watch
3y87LkMDFSs4wCf5NtK7hQhrMGqaXAvgDfQ4LeNMoYh5,CLIPLIN-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=-279.6652442300592；hold=0.005392296661863；sell_ratio=0.0,risk_watch
HXuSaaZ6QjnyX4mQLZQGoVSwb83uNyJpYTMUAuPcnbht,CLIPLIN-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=-180.7731075346507；hold=0.005386566792116999；sell_ratio=0.0,risk_watch
CRLJgYLH4EfLydBbGtDMRriZHxJVYvRVgQ9e6xzRUpu5,CLIPLIN-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=-76.1997196105033；hold=0.005366825756444；sell_ratio=0.0,risk_watch
BWLwLPSne3W3q239oWxqQVcsQugJEdnji8KRpinRr8F4,CLIPLIN-RETAIL_NOISE-R2-NOISE_SIDE,GMGN标签=无；profit=-184.34510605199884；hold=0.005113549608841；sell_ratio=0.0,risk_watch
9aaztVX71UaXVvZ2GuBQzp45bUfwneBGDPdn97DPwxmq,CLIPLIN-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=-175.07688022184652；hold=0.004925041931177；sell_ratio=0.0,risk_watch
GbZcmW4q39ijZiJRRBE1j5KeDa4difHyEFxDk57Vvn9d,CLIPLIN-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=-187.55004240179102；hold=0.004868767068326；sell_ratio=0.0,risk_watch
BL2iBddB8f4sxpAwKDeah6mUUXePoAWgdxHhVARfHbFF,CLIPLIN-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=-171.0763181377843；hold=0.004861906222323；sell_ratio=0.0,risk_watch
DPUskMNC1hL18gENo6j44WknM6Wa2jmSCnKjkJxXBECt,CLIPLIN-RETAIL_NOISE-R2-NOISE_SIDE,GMGN标签=无；profit=-156.30226353975772；hold=0.0048527425254250005；sell_ratio=0.0,risk_watch
2h32hzxTysGpLLMvU3kM3VQwdwHYcWNZfGdmx1wfD8GH,CLIPLIN-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=-188.54197194333528；hold=0.004795257686253；sell_ratio=0.0,risk_watch
3s3xexveoDrF8gnPfPs2bLPWjvZy8XrTuHFDUfx6f7iE,CLIPLIN-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=-161.94080109749478；hold=0.004778208243776；sell_ratio=0.0,risk_watch
3MWsCKiDDX7rzfZwaHZH7oumG1HYYPKrhjFSJE1b9Hdo,CLIPLIN-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=-189.1332406753846；hold=0.004750105189844；sell_ratio=0.0,risk_watch
JBV41vYBL2b8HuBmNcCnpRoBfrLDJrUFViQFPJ2vZrWd,CLIPLIN-EARLY_BUYER-E2-STRUCTURE_SIDE,"GMGN标签=sniper,bundler,dev_team；profit=2964.27601996192；hold=0.0；sell_ratio=1.0",risk_watch
CZMvsfuFkCLQV6cgXkyMDvDAQ5sL3B7r6Jy69CRuBYyF,CLIPLIN-EARLY_BUYER-E2-STRUCTURE_SIDE,"GMGN标签=sniper,bundler,dev_team,paper_hands；profit=1332.04415010063；hold=0.0；sell_ratio=1.0",risk_watch
6DxVprLftfJ9KbbyC7C6DgjrjCHaz9hwGnTHUeiDFFSs,CLIPLIN-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,"GMGN标签=axiom,bundler；profit=991.72394437307；hold=0.0；sell_ratio=1.0",risk_watch
DxsHQghSJuxQ8hfPsVwT1p9SGehEk1MZU8LRZXEA57cS,CLIPLIN-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,"GMGN标签=bundler,paper_hands；profit=988.59402650686；hold=0.0；sell_ratio=1.0",risk_watch
5EXMyWNjWGQaS4BHax8SZyDopyqbtHqjADGZLBMHfe4q,CLIPLIN-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,"GMGN标签=axiom,bundler；profit=898.79934767251；hold=0.0；sell_ratio=1.0",risk_watch
iGiyBNJ9eKcPfBLaoVCEMx3WCyrnUT1SfKZL2DYifcL,CLIPLIN-EARLY_BUYER-E2-STRUCTURE_SIDE,"GMGN标签=sniper,bundler,dev_team,paper_hands；profit=883.18328446097；hold=0.0；sell_ratio=1.0",risk_watch
H6Y7K2GZJ9mkLj42drMKkX9xDS3b8sVLQChpk9BiMDPR,CLIPLIN-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,"GMGN标签=axiom,bundler；profit=664.37781377541；hold=0.0；sell_ratio=1.0",risk_watch
HsDLcDKH2Avb4m592e9F2dsZsdH22hHZwCKt4aMR8wMQ,CLIPLIN-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,GMGN标签=axiom；profit=492.98774677551；hold=0.0；sell_ratio=1.0,risk_watch
CmgYEVaHafP77VmWjXW26R1ieGqH9HV14QZ1kruxvQ1n,CLIPLIN-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,"GMGN标签=axiom,bundler；profit=436.27472577692；hold=0.0；sell_ratio=1.0",risk_watch
EeAG4F4WoZgm5XMgbtMuhf5xmeUMxmFm1ApqdrsD8eMp,CLIPLIN-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,"GMGN标签=axiom,paper_hands；profit=390.03325617858；hold=0.0；sell_ratio=1.0",risk_watch
AyM6Apjqic7wLYpg9bw72yWoTUKU9ypNy7YPCXhWxeJH,CLIPLIN-RETAIL_NOISE-R2-NOISE_SIDE,"GMGN标签=axiom,paper_hands；profit=341.35635328053；hold=0.0；sell_ratio=1.0",risk_watch
6h7NYdhvowNv2eJt8RWz6rQtgR3rQQdFNfU2gfnLHfie,CLIPLIN-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,GMGN标签=paper_hands；profit=319.98092458793；hold=0.0；sell_ratio=1.0,risk_watch
5qJ7XGnpDTwSooDNDiJDuBDnytCrgYcwHG9dVeEnJYiJ,CLIPLIN-RETAIL_NOISE-R2-NOISE_SIDE,"GMGN标签=axiom,paper_hands；profit=284.43437057247；hold=0.0；sell_ratio=1.0",risk_watch
HJanh4pRroez2icDzkNdnF889wMUYDMvKPaR8FmFsnSk,CLIPLIN-EARLY_BUYER-E2-STRUCTURE_SIDE,"GMGN标签=sniper,bundler,dev_team,paper_hands；profit=280.67838517078；hold=0.0；sell_ratio=1.0",risk_watch
9949MQfMqnzoFcqeLAVjLvX8oRqiUZwZYuSMjNEwHAgT,CLIPLIN-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,GMGN标签=无；profit=277.97633908049；hold=0.0；sell_ratio=1.0,risk_watch
EsTd8Ne1UcdmFRcCHiUJFJYg2WnXbzM38yW5ewioxsjg,CLIPLIN-RETAIL_NOISE-R2-NOISE_SIDE,GMGN标签=paper_hands；profit=254.9126173933；hold=0.0；sell_ratio=1.0,risk_watch
5c5CWYhqNbqZ5KTApvVu3a7fS19ve9sm81t7RF1pdC9H,CLIPLIN-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,"GMGN标签=axiom,bundler；profit=251.60565078825；hold=0.0；sell_ratio=1.0",risk_watch
Bk5py7yP6xGwt1gVBk3dKHxTtwYMV8r7B7HF25JjpSaj,CLIPLIN-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,GMGN标签=无；profit=244.55414262289；hold=0.0；sell_ratio=1.0,risk_watch
9rQMNuKKePYFSfuF8tVYEXzYbdU7BKeC6bibxvstKe6X,CLIPLIN-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,GMGN标签=paper_hands；profit=236.66870331934；hold=0.0；sell_ratio=1.0,risk_watch
EhH1UsscDrtzSnUEd4C5y5AtpUuSRcWvYv2cfa2aWDUA,CLIPLIN-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,GMGN标签=bundler；profit=229.81308268948；hold=0.0；sell_ratio=1.0,risk_watch
AQHsynLzvT7Uyf8DMuVGq2BKLJxuidgeh6MvXrtSeTWK,CLIPLIN-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,"GMGN标签=gmgn,axiom,padre,bundler,paper_hands；profit=229.1148335061；hold=0.0；sell_ratio=1.0",risk_watch
