timestamp,time_utc,open,high,low,close,volume,market_cap,volume_ma20,rvol,obv,cmf20,mfi14,atr14,atr_pct,avwap,swing,structure_tag,lower_wick_ratio,accumulation_score,score_reasons
1777524360,2026-04-30 04:46:00 UTC,4.8778191e-05,5.1524999e-05,4.5528471e-05,4.7619558e-05,1598.35238053,47619.532618775585,,,0.0,,,,,4.8224342666666666e-05,,,0.3487162904934322,30,未继续大幅创新低;接近/站上开盘AVWAP
1777524420,2026-04-30 04:47:00 UTC,4.7619558e-05,4.7809369e-05,4.1885329e-05,4.7406285e-05,1445.4234653,47406.2597324501,,,-1445.4234653,,,,,4.702574241074856e-05,,,0.9319579206082337,40,未继续大幅创新低;明显下影线;接近/站上开盘AVWAP
1777524480,2026-04-30 04:48:00 UTC,4.7406285e-05,4.955488e-05,4.0639098e-05,4.3931048e-05,1861.49727089,43931.024584751416,,,-3306.92073619,,,,,4.614631440796034e-05,,,0.3692272870736408,25,未继续大幅创新低;明显下影线
1777524540,2026-04-30 04:49:00 UTC,4.3931048e-05,5.6570901e-05,4.0375701e-05,5.3382569e-05,3177.98028642,53382.54054709072,,,-128.94044976999976,,,,,4.7704552887319446e-05,SL,,0.21953091039320285,50,未继续大幅创新低;OBV上升/未跟随创新低;接近/站上开盘AVWAP
1777524600,2026-04-30 04:50:00 UTC,5.3382569e-05,5.7803223e-05,4.7143044e-05,5.2678771e-05,3573.63743668,52678.74292221506,,,-3702.57788645,,,,,4.9187464273465445e-05,,,0.519290248315718,40,未继续大幅创新低;明显下影线;接近/站上开盘AVWAP
1777524660,2026-04-30 04:51:00 UTC,5.2678771e-05,5.5559649e-05,4.5039461e-05,5.2872663e-05,2797.63463189,52872.63481887062,,,-904.9432545599998,,,,,4.956871250089936e-05,,,0.7261571751379348,60,未继续大幅创新低;OBV上升/未跟随创新低;明显下影线;接近/站上开盘AVWAP
1777524720,2026-04-30 04:52:00 UTC,5.2872663e-05,5.8935533e-05,5.1969005e-05,5.5895062e-05,2009.25956988,55895.03220793196,,,1104.3163153200003,,,,,5.030476160469763e-05,SH,,0.12971425651343116,50,未继续大幅创新低;OBV上升/未跟随创新低;接近/站上开盘AVWAP
1777524780,2026-04-30 04:53:00 UTC,5.5895062e-05,5.5895062e-05,4.4547393e-05,5.2513223e-05,2562.78330386,52513.19501045214,,,-1458.4669885399999,,,,,5.0396416744998804e-05,SL,HL,0.7019794109257151,60,未继续大幅创新低;OBV上升/未跟随创新低;明显下影线;接近/站上开盘AVWAP
1777524840,2026-04-30 04:54:00 UTC,5.2513223e-05,5.7606278e-05,4.9472924e-05,5.1762978e-05,2171.23107575,51762.95041033273,,,-3629.69806429,,,,,5.065770611433605e-05,,,0.28156330094571086,30,未继续大幅创新低;接近/站上开盘AVWAP
1777524900,2026-04-30 04:55:00 UTC,5.1762978e-05,5.4345033e-05,4.7663246e-05,4.9262382e-05,1004.92274666,49262.355743150394,,,-4634.62081095,,,,,5.0647108084100384e-05,,,0.23932759305257736,15,未继续大幅创新低
