timestamp,time_utc,open,high,low,close,volume,market_cap,volume_ma20,rvol,obv,cmf20,mfi14,atr14,atr_pct,avwap,swing,structure_tag,lower_wick_ratio,accumulation_score,score_reasons
1777531920,2026-04-30 06:52:00 UTC,4.3492384e-05,4.3492384e-05,4.2685082e-05,4.3276051e-05,83.085632504,43275.49204652529,,,0.0,,,,,4.315117233333334e-05,,,0.7320296493753308,40,未继续大幅创新低;明显下影线;接近/站上开盘AVWAP
1777531980,2026-04-30 06:53:00 UTC,4.3276051e-05,4.6412169e-05,4.0744847e-05,4.6412169e-05,808.63891378,46411.5695404252,,,808.63891378,,,,,4.439523711203206e-05,,,0.4466314072149077,40,未继续大幅创新低;明显下影线;接近/站上开盘AVWAP
1777532040,2026-04-30 06:54:00 UTC,4.6412169e-05,5.6239316e-05,4.5657407e-05,5.6239316e-05,1667.055948557,56238.58961299455,,,2475.694862337,,,,,4.981365058861044e-05,,,0.07132569369099637,30,未继续大幅创新低;接近/站上开盘AVWAP
1777532100,2026-04-30 06:55:00 UTC,5.6239316e-05,6.6374183e-05,5.5594998e-05,6.4781182e-05,1837.56924761,64780.345286253294,,,4313.264109947,,,,,5.501179835108588e-05,,,0.05977427792546461,50,未继续大幅创新低;OBV上升/未跟随创新低;接近/站上开盘AVWAP
1777532160,2026-04-30 06:56:00 UTC,6.4781182e-05,6.7700284e-05,6.3656945e-05,6.5874687e-05,544.62210572,65873.83616254272,,,4857.886215667,,,,,5.619475975852396e-05,SH,,0.2780466836938512,50,未继续大幅创新低;OBV上升/未跟随创新低;接近/站上开盘AVWAP
1777532220,2026-04-30 06:57:00 UTC,6.5874687e-05,6.5970183e-05,5.6265857e-05,6.0529914e-05,1027.98155469,60529.13219563078,,,3829.9046609770003,,,,,5.7008889084464525e-05,,,0.4393975429102448,60,未继续大幅创新低;OBV上升/未跟随创新低;明显下影线;接近/站上开盘AVWAP
1777532280,2026-04-30 06:58:00 UTC,6.0529914e-05,6.4120022e-05,6.0529914e-05,6.4120022e-05,393.15319776,64119.193825795846,,,4223.057858737,,,,,5.737437764214514e-05,,,0.0,30,未继续大幅创新低;接近/站上开盘AVWAP
1777532340,2026-04-30 06:59:00 UTC,6.4120022e-05,6.4120022e-05,5.9534577e-05,5.9534577e-05,394.53116899,59533.80805140347,,,3828.526689747,,,,,5.758976578137337e-05,,,0.0,30,未继续大幅创新低;接近/站上开盘AVWAP
1777532400,2026-04-30 07:00:00 UTC,5.9534577e-05,6.0648356e-05,5.8244503e-05,5.8244503e-05,222.63102501,58243.75071399925,,,3605.895664737,,,,,5.763621127302707e-05,,,0.0,30,未继续大幅创新低;接近/站上开盘AVWAP
1777532460,2026-04-30 07:01:00 UTC,5.8244503e-05,5.9278947e-05,5.6287156e-05,5.6287156e-05,301.90373299,56286.428995093105,,,3303.9919317470003,,,,,5.762162472137045e-05,,,0.0,15,未继续大幅创新低
