timestamp,open,high,low,close,volume,amount,market_cap
1777742340,3.8456869999999999e-05,3.9891042999999999e-05,3.34277860000000004e-05,3.43629310000000007e-05,3580.05534422600022,97721560.9369789511,34362.9309656370679
1777742400,3.43629310000000007e-05,3.50583000000000028e-05,3.11816790000000026e-05,3.45986859999999996e-05,1724.6297010799999,52074370.6226840019,34598.6859654013169
1777742460,3.45986859999999996e-05,5.85791619999999992e-05,3.45376019999999982e-05,5.37197e-05,8262.55469988000004,166735578.14955011,53719.6999462802996
1777742520,5.37197e-05,5.6598897000000003e-05,4.4063066000000002e-05,5.27836150000000017e-05,4369.49529342000005,85868880.1060680151,52783.6149472163888
1777742580,5.27836150000000017e-05,6.07420070000000013e-05,5.19569330000000008e-05,5.75059590000000025e-05,3920.92630331999999,69484243.6882190257,57505.9589424940423
1777742640,5.75059590000000025e-05,6.81896749999999935e-05,5.64290570000000006e-05,6.81896749999999935e-05,3496.27168979999988,55215649.0749199688,68189.6749318103248
1777742700,6.81896749999999935e-05,6.81896749999999935e-05,5.94578829999999989e-05,6.36759570000000006e-05,2224.69730087000016,35409168.5647239983,63675.9569363240444
1777742760,6.36759570000000006e-05,7.06991540000000032e-05,6.02747869999999987e-05,6.76449200000000015e-05,2782.43596938000019,42706586.8188089803,67644.9199323550856
1777742820,6.76449200000000015e-05,7.05877540000000029e-05,5.62907039999999972e-05,5.81732180000000033e-05,3634.19426277000002,57688904.7959069982,58173.2179418267842
1777742880,5.81732180000000033e-05,5.84259300000000012e-05,3.41498700000000011e-05,4.1957369000000001e-05,5351.26855718000024,127985671.306645989,41957.3689580426289
1777742940,4.1957369000000001e-05,4.45741940000000012e-05,3.79409719999999982e-05,4.34028269999999977e-05,2005.34244766000006,48109669.8760219812,43402.8269565971714
1777743000,4.34028269999999977e-05,5.07395639999999994e-05,4.31497999999999981e-05,4.77529009999999975e-05,1846.59504397000001,39609549.3037460074,47752.9009522470951
1777743060,4.77529009999999975e-05,4.91154420000000023e-05,4.12247210000000027e-05,4.43964449999999971e-05,1764.32974184999989,40352607.6516070142,44396.4449556035543
1777743120,4.43964449999999971e-05,5.3605447000000002e-05,4.43964449999999971e-05,5.18405309999999975e-05,1569.57991248999997,31443054.457016997,51840.5309481594668
