address	chain	token_symbol	token_address	gmgn_tags	address_type	token_source_type	funding_source_type	first_buy_time_utc	last_active_utc	holding_pct	holding_value_usd	buy_volume_usd	sell_volume_usd	sell_pct	total_profit_usd	realized_profit_usd	unrealized_profit_usd	token_source_address	funding_source	final_role	evidence_level	signal_direction	action_code	write_to_database	suggest_gmgn_track	review_priority	sikk_remark
Gr3k2DGNLnFVZqwhvSBE9xLxe4CN1uGtB3RACCbsJH4	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	top_holder	基础设施	主动买入	未知源	00:18:12	03:05:25	6.628%	32723.49	0	0	0.000%	0	0	0			LP池子	I1	排除	I	基础设施地址库,地址关系边库	是	无	LP/Pool基础设施，不进入普通钱包评分
GQjwMEMvfAPngTPd6o5w2sZzt6xvaZho9gYSgEqc8FAT	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	top_holder	基础设施	主动买入	未知源	00:38:42	03:05:19	1.640%	8098.21	0	0	0.000%	0	0	0			LP池子	I1	排除	I	基础设施地址库,地址关系边库	是	无	LP/Pool基础设施，不进入普通钱包评分
DxM1hfY8FQ8dNGrucuJzhJcF8KRbjk8WBwrgKvQ9spPv	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	fomo,kol,top_holder,bundler	普通钱包	主动买入	路由/工具节点候选	00:25:41	02:53:47	2.148%	10602.53	7355.65	483.56	3.323%	3727.10	248.45	3478.64		GnRFFi8CW1gVuUKYyoFjm4cxfAfX1iE2iGgp7DSwJJB5	结果钱包/KOL钱包	E3	正向+社交	A3	地址主档库,钱包结果档案库	观察	中	KOL参与，注意后续派发
2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	kol,axiom,gmgn,wash_trader,bundler,transfer_in,paper_hands	普通钱包	转入	路由/工具节点候选	02:34:09	02:35:28	0.000%	0	1088.33	2265.21	100.000%	364.71	364.71	0	suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK	AxiomRXZAq1Jgjj9pHmNqVP7Lhu67wLXZJZbaK87TTSk	分发派发钱包	E4/R2	结构+风险	A4+R	地址主档库,Token来源库,风险地址库,地址关系边库	是	高	Token转入后高比例卖出，疑似分发后派发
JBhVoSaXknLocuRGMUAbuWqEsegHA8eG1wUUNM2MBYiv	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	axiom,top_holder,bundler	普通钱包	主动买入	路由/工具节点候选	00:22:08	01:11:34	3.285%	16220.64	7923.59	1237.44	4.871%	9529.66	880.59	8649.07		AxiomRXZAq1Jgjj9pHmNqVP7Lhu67wLXZJZbaK87TTSk	结果钱包	E4	正向+结构	A4	地址主档库,钱包结果档案库,地址关系边库	是	高	bundler+高结果，疑似结构执行中的结果地址
EmfYATLLQWYPDiqHxBFFKNzPFZTEPLupknMWAJZLzgwP	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	fomo,top_holder,transfer_in	普通钱包	转入	路由/工具节点候选	00:52:09	00:59:07	2.767%	13661.99	14156.71	0	0.000%	-7983.24	0	-7983.24	65kmABTfVidnwPzs5bfeyptpM2ewkkNewnJK6QwUSKXE	22zjkDKzquzFCCvnxRSYQU1Bb6gSu52LTEU3ZCBBQYuf	分发接收钱包	E4	结构	A4	地址主档库,Token来源库,地址关系边库	是	高	Token转入/接收，需追token_source_address
GijFWw4oNyh9ko3FaZforNsi3jk6wDovARpkKahPD4o5	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	axiom,photon,padre,bundler,transfer_in	普通钱包	转入	路由/工具节点候选	00:18:06	02:53:01	0.000%	0	1089.65	14671.01	100.000%	12743.74	12743.74	0	B2UdLdkJSk4tSnvHPupozH6gi1TPCS3rv3npd57G1Aut	AxiomRXZAq1Jgjj9pHmNqVP7Lhu67wLXZJZbaK87TTSk	分发派发钱包	E4/R2	结构+风险	A4+R	地址主档库,Token来源库,风险地址库,地址关系边库	是	高	Token转入后高比例卖出，疑似分发后派发
o1cwo8ZWUhGir84GWmeWJo5JZbmeMPnoypuK98q4fMU	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	fresh_wallet,top_holder,bundler	普通钱包	主动买入	路由/工具节点候选	02:54:11	03:04:22	1.447%	7144.77	12248.21	5610.31	54.444%	456.32	416.5	39.81		B48kNVXs4YK4amkBCH2XokQiv1SeiVQGHDR17xDeKAAn	新钱包狙击	E3	结构	A3	地址主档库,地址关系边库	观察	中	fresh/bundler早期参与，历史稳定性待验证
7zNeNdCtyteKLop816zN6HoCyhYXtQf9U8jnW7FNVgXX	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	fomo,top_holder,bundler	普通钱包	主动买入	路由/工具节点候选	00:57:56	02:56:57	1.533%	7570.88	8223.24	0	0.000%	-655.83	0	-655.83		D89hHJT5Aqyx1trP6EnGY9jJUB3whgnq3aUvvCqedvzf	普通交易钱包	E2	中性	A2	地址主档库	观察	中	Top holder但关键结构证据不足
J4hY1wpM6dZCzAbFndKUBZBEEG5yVRdP96zYnPu9dULb	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	fomo,top_holder,bundler	普通钱包	主动买入	未知源	01:19:11	02:54:10	1.190%	5873.50	7314.26	0	0.000%	-1443.85	0	-1443.85			普通交易钱包	E2	中性	A2	地址主档库	观察	中	Top holder但关键结构证据不足
GExMN6extw7JyLe3jENEZwULyyqbDxxcrfF44VFLvFAT	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	smart_degen,bundler	普通钱包	主动买入	路由/工具节点候选	00:28:46	02:55:33	0.404%	1966.63	4995.42	6251.89	70.028%	3220.10	2680.03	540.07		BNuebGMyAsrLytsS13whc3qUqbnM9mVwUJcumD31m5zA	结果钱包	E4	正向	A4	地址主档库,钱包结果档案库	是	高	Smart Money高结果，需复盘稳定性
Dfi33bzKPRk7yrRxA8q9MB4TR9FodZ51wK9kkqbsrq4v	sol	ewon	12eM87tTACWpgnwuapFUHDVDXFaZSxJqxBNj1AHB56sy	gmgn,fresh_wallet,top_holder,bundler	普通钱包	主动买入	路由/工具节点候选	01:10:03	02:00:03	1.952%	9636.06	42581.27	24074.22	70.045%	-9599.81	-1694.16	-7905.65		F7p3dFrjRTbtRp8FRF6qHLomXbKRBzpvBLjtQcfcgmNe	接盘鲸鱼/派发风险地址	R2	风险	R	风险地址库,地址主档库	否	高	高买入且大比例卖出/结果不稳定
