timestamp,open,high,low,close,volume,amount,market_cap
1777721100,4.08657260000000019e-05,4.71118289999999978e-05,3.83894159999999992e-05,4.43555300000000012e-05,10441.4160656700005,243869776.350864112,44355.5299999999988
1777721160,4.43555300000000012e-05,4.75803839999999989e-05,3.77636849999999979e-05,4.48137460000000001e-05,11047.3299898000005,259717307.864480972,44813.7459999999992
1777721220,4.48137460000000001e-05,4.64248149999999974e-05,3.53638719999999987e-05,3.93087099999999993e-05,6525.95257935999962,158933142.22232905,39308.7099999999991
1777721280,3.93087099999999993e-05,4.51643990000000014e-05,3.64087229999999988e-05,4.11575390000000003e-05,7928.6551433300001,192987066.402730942,41157.538999999997
1777721340,4.11575390000000003e-05,5.56787400000000022e-05,4.11575390000000003e-05,5.25056719999999978e-05,11568.1552010300002,234527557.770495057,52505.6719999999987
1777721400,5.25056719999999978e-05,6.29587590000000056e-05,5.11458239999999998e-05,5.85754519999999971e-05,7274.3112776199996,129656790.55739902,58575.4519999999975
1777721460,5.85754519999999971e-05,6.61216039999999982e-05,5.33436279999999986e-05,5.89361019999999985e-05,12257.5014026999997,208270496.478380024,58936.101999999999
1777721520,5.89361019999999985e-05,6.69691190000000009e-05,5.20511499999999971e-05,5.20511499999999971e-05,10704.5397847700006,184019406.379403979,52051.1499999999942
1777721580,5.20511499999999971e-05,6.1331356999999996e-05,4.72620199999999971e-05,5.32449059999999988e-05,12828.4586160300005,233411349.688794941,53244.9059999999954
1777721640,5.32449059999999988e-05,6.08387779999999974e-05,4.97653319999999969e-05,5.66465989999999979e-05,9735.68686999999954,177640866.340852946,56646.5989999999947
1777721700,5.66465989999999979e-05,6.72807130000000034e-05,5.3156204000000002e-05,5.97695230000000005e-05,11295.6183092400006,183525198.742125005,59769.523000000001
1777721760,5.97695230000000005e-05,6.02875669999999983e-05,4.97857010000000028e-05,5.39838460000000023e-05,12353.5444808600005,223659879.936345041,53983.846000000005
1777721820,5.39838460000000023e-05,6.84214359999999936e-05,5.1746785000000003e-05,6.34435489999999973e-05,14301.7484515800006,228744434.68414107,63443.5489999999991
1777721880,6.34435489999999973e-05,7.64692889999999998e-05,6.02479319999999971e-05,7.21683619999999944e-05,12272.5543216000005,180642533.547712147,72168.3619999999937
1777721940,7.21683619999999944e-05,8.02175670000000057e-05,6.52730309999999947e-05,7.06505450000000004e-05,9240.46946109999953,125922504.410332024,70650.5449999999983
1777722000,7.06505450000000004e-05,7.87346409999999954e-05,6.23015490000000004e-05,6.56402910000000045e-05,11978.9842694199997,169358313.804230988,65640.2909999999974
1777722060,6.56402910000000045e-05,8.10791050000000014e-05,6.37815200000000005e-05,6.7456776000000002e-05,15248.8891277599996,215336731.264313012,67456.775999999998
1777722120,6.7456776000000002e-05,7.70885460000000049e-05,5.86710089999999991e-05,6.47560649999999992e-05,11906.7428072900002,177652610.692688048,64756.0650000000023
1777722180,6.47560649999999992e-05,6.50057279999999966e-05,5.46513639999999981e-05,6.06819659999999997e-05,13611.1810817999994,226921833.970404059,60681.9660000000003
1777722240,6.06819659999999997e-05,7.14239680000000051e-05,5.71711550000000027e-05,7.14239680000000051e-05,10144.9521893000001,157073492.713557959,71423.968000000008
1777722300,7.14239680000000051e-05,8.08679890000000022e-05,6.57167670000000038e-05,7.63863620000000004e-05,12139.71413742,168086105.257350981,76386.3619999999937
1777722360,7.63863620000000004e-05,8.31628880000000035e-05,6.5675907000000005e-05,7.32176419999999966e-05,13545.6311285299998,180704888.282118022,73217.6419999999925
1777722420,7.32176419999999966e-05,7.73106980000000063e-05,6.2098240000000004e-05,6.6536034999999997e-05,12062.4364055099995,173764537.27491799,66536.0350000000035
1777722480,6.6536034999999997e-05,7.99229369999999946e-05,6.34332219999999945e-05,7.63659430000000045e-05,15487.6852132599997,215089610.551637024,76365.9429999999993
1777722540,7.63659430000000045e-05,9.15173240000000045e-05,7.01766659999999954e-05,8.3931092000000005e-05,10534.30442563,132464970.165696993,83931.0920000000042
1777722600,8.3931092000000005e-05,9.78484980000000047e-05,8.13287910000000017e-05,9.42459209999999957e-05,11533.1856565300004,128394356.028228015,94245.9210000000021
1777722660,9.42459209999999957e-05,9.67566599999999987e-05,7.92989339999999936e-05,8.40795309999999984e-05,11635.4882849099995,132182184.868217006,84079.5310000000027
