扫描时间,来源分类,代币符号,代币名称,代币地址,创建时间戳,开盘时间戳,总供应量,发射平台,筛选等级,风险动作,是否进入候选池,当前市值USD,流动性USD,24H成交额USD,24H净买入USD,24H交易数,24H买笔数,24H卖笔数,Top10持仓率,Dev持仓率,rat异常占比,bot占比,鲸鱼持仓率,Dev发币数,Smart钱包数,KOL人数,新钱包比例,狙击钱包数,捆绑交易占比,Rug风险,结构加分,通过条件,排除原因,下一步动作
2026-05-04T12:40:24Z,completed,trollina,trollina,Y4vtfnvGSTe2exSm94SXUq3684MGWwWEhXzASkupump,1777830323,1777891259,991438462,Pump.fun,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,71805.83556395,21068.32333707,273309.03118477,11357.8569703,7362,4858,2504,0.2158,0,0.0003,0.3228,0,2,3,1,0.0589,11,0.0741,0,4,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；KOL人数>=1；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-04T12:40:24Z,completed,CARDS,Cards,ziffq43QSCC95DUjVc7cULKYttEHyA1pops25gDpump,1777892981,1777892981,999996856,Pump.fun,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,369250.85747438,49220.23596254,1064366.7285884,29278.87621599,12992,6954,6038,0.0242,0,0,0.0198,0,1,0,0,0.0863,3,0.0325,0,2,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-04T12:40:24Z,completed,TROLLIEN,Troll Alien,ECgweD7xkMj4bm8CcM9rusxKjyQGgdosCvVmhGUupump,1777892869,1777893035,999999999,Pump.fun,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,96648.08977956,24860.86712982,557241.27863918,14880.6209203,24631,20505,4126,0.0509,0,0,0.008,0,1,0,0,0.0004,29,0.0967,0,2,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-04T12:40:24Z,completed,trolls,trolls,7CR3CBpivSMzBEet3cvUckjeSLdbCKaxRB1yNNm6pump,1777853501,1777898115,999999629,Pump.fun,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,89721.47831559,23086.29519141,55610.5539795,11775.95206842,1354,1025,329,0.2295,0,0.0003,0.0067,0,1,0,0,0.0006,32,0.1751,0,2,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-04T12:40:24Z,completed,jestin ,jestin sen,D5GpuB8FAWAc6Qex1p3B1vT9DJKvjPNuBzQgX5y3bonk,1777897069,1777897207,999999940,letsbonk,S1_普通观察,OBSERVE_ONLY,是,67312.13599087,30519.9616,467309.18496299,15861.298679,9435,5048,4387,0.1913,0,0.0011,0.5221,0,22198,12,6,0.0685,7,0.2861,0,3,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；鲸鱼持仓率达标；Rug风险达标；Smart钱包>=1；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,进入低权重观察；等待下一轮 GMGN/K线确认
