timestamp,open,high,low,close,volume,amount,market_cap
1777541460,5.38588969999999987e-05,5.50257509999999968e-05,4.65317719999999973e-05,4.65317719999999973e-05,1553.35167053999999,30741973.4275370017,46531.713183840191
1777541520,4.65317719999999973e-05,4.83290779999999976e-05,3.98434389999999987e-05,4.28052129999999969e-05,2321.7839227999998,52550199.9347480014,42805.1588942107628
1777541580,4.28052129999999969e-05,4.28052129999999969e-05,3.71911280000000003e-05,4.01816009999999977e-05,1696.57302716000004,43111231.8030320182,40181.5502104563348
1777541640,4.01816009999999977e-05,4.6284527999999997e-05,3.77488390000000002e-05,4.6284527999999997e-05,1477.4884664199999,36194220.97107701,46284.4694963566071
1777541700,4.6284527999999997e-05,4.86332520000000028e-05,4.49955350000000022e-05,4.77286510000000019e-05,873.819135370000026,18618646.7575969957,47728.5906709851406
1777541760,4.77286510000000019e-05,4.77286510000000019e-05,3.72892589999999967e-05,3.79180820000000029e-05,2189.08381891399995,53671212.0222450048,37918.0340715443526
1777541820,3.79180820000000029e-05,4.44066070000000019e-05,3.61887370000000026e-05,4.06616680000000032e-05,1822.37933709000004,46114399.3334950134,40661.6166036516515
1777541880,4.06616680000000032e-05,4.21551359999999974e-05,3.95550070000000024e-05,4.09634059999999979e-05,694.277286920000051,16992924.0762460008,40963.3542222548131
1777541940,4.09634059999999979e-05,4.12113709999999971e-05,3.48023099999999978e-05,3.82580860000000006e-05,1473.68334385999992,39753955.4908309951,38258.0376417792941
1777542000,3.82580860000000006e-05,4.04877669999999986e-05,3.2865625000000001e-05,3.74323639999999991e-05,1951.98643285999992,53074026.1107569933,37432.3166854919036
1777542060,3.74323639999999991e-05,3.76001150000000004e-05,3.63078539999999993e-05,3.72163600000000023e-05,756.097916087000044,20462461.1580340005,37216.3129585209608
1777542120,3.72163600000000023e-05,3.7433069000000001e-05,3.47456710000000024e-05,3.47456710000000024e-05,461.766905699999995,12757093.4872629996,34745.6270814718591
1777542180,3.47456710000000024e-05,3.57100490000000027e-05,3.34120130000000002e-05,3.35632380000000014e-05,485.686122049999994,14121895.924062999,33563.1955760671699
