timestamp,open,high,low,close,volume,amount,market_cap
1777732200,2.8786293e-05,3.46112310000000031e-05,2.53485710000000005e-05,2.89210210000000005e-05,4630.29621855000005,154727622.082871974,28920.5988109354439
1777732500,2.89210210000000005e-05,3.45106510000000007e-05,2.27832709999999999e-05,2.97096720000000013e-05,7882.07028975199955,273229064.88804698,29709.2382982081435
1777732800,2.97096720000000013e-05,3.46668639999999999e-05,2.47238279999999986e-05,2.86056310000000008e-05,3565.36309459999984,122369268.502410978,28605.2134149986632
1777733100,2.86056310000000008e-05,2.86056310000000008e-05,2.29049190000000002e-05,2.67314629999999985e-05,1544.03453093600001,61006238.826594986,26731.072774103126
1777733400,2.67314629999999985e-05,2.85372630000000008e-05,2.61126510000000009e-05,2.85010500000000005e-05,474.886193300000002,17529162.8175510056,28500.6339416721021
1777733700,2.85010500000000005e-05,3.0155104999999999e-05,2.21333320000000012e-05,2.34845080000000004e-05,1755.53135801999997,66664273.8215980008,23484.1651731522179
1777734000,2.34845080000000004e-05,2.65455279999999984e-05,2.34088360000000004e-05,2.65455279999999984e-05,445.470469639999976,17988329.6093199998,26545.1404883822543
1777734300,2.65455279999999984e-05,3.05998849999999971e-05,2.51753540000000004e-05,3.01465139999999984e-05,1149.5409602499999,41715018.4022090062,30146.0739211886248
1777734600,3.01465139999999984e-05,3.01465139999999984e-05,2.73912519999999985e-05,2.73912519999999985e-05,436.063640555999996,15305227.1532190014,27390.8521425033032
1777734900,2.73912519999999985e-05,2.73912519999999985e-05,2.49443790000000005e-05,2.49443790000000005e-05,286.842035220000014,11171235.4701429997,24944.0148619553584
1777735200,2.49443790000000005e-05,3.12257410000000004e-05,2.49443790000000005e-05,2.81455940000000006e-05,1564.0352696110001,54617819.5270320103,28145.1831306187887
1777735500,2.81455940000000006e-05,3.05777219999999971e-05,2.81455940000000006e-05,2.99058759999999987e-05,487.899974559999976,16388101.4013999999,29905.4394340221515
1777735800,2.99058759999999987e-05,3.10645479999999984e-05,2.89987749999999992e-05,3.05298470000000023e-05,573.707478059999971,19153885.8838400021,30529.4013252934965
1777736100,3.05298470000000023e-05,3.22822969999999993e-05,2.7888794e-05,3.00203130000000001e-05,888.188685920000012,29601111.1107859984,30019.874763470827
1777736400,3.00203130000000001e-05,3.27397479999999989e-05,2.73339459999999985e-05,3.08927770000000005e-05,1487.45358957999997,49330197.2573560029,30892.3260272413536
1777736700,3.08927770000000005e-05,3.10899059999999983e-05,2.75991419999999996e-05,2.83034680000000001e-05,680.608394960000055,23118149.9818589985,28303.0548259741372
1777737000,2.83034680000000001e-05,3.28665279999999977e-05,2.83034680000000001e-05,3.16121660000000024e-05,747.388623110000026,23987220.6074640006,31611.7045256007332
1777737300,3.16121660000000024e-05,3.2185450000000002e-05,3.13260960000000005e-05,3.18529320000000021e-05,248.39317539000001,7820149.61991100106,31852.4670108986647
1777737600,3.18529320000000021e-05,3.18529320000000021e-05,2.89638539999999998e-05,2.95119589999999992e-05,493.151337609999985,16477561.8107049987,29511.5281844225174
1777737900,2.95119589999999992e-05,2.96308440000000013e-05,2.77925920000000003e-05,2.91239950000000007e-05,463.841161530000022,16123318.5278280005,29123.5698479209896
1777738200,2.91239950000000007e-05,3.14111270000000021e-05,2.91239950000000007e-05,2.99984369999999985e-05,329.942874659999973,10837599.2488090005,29997.9990828166738
1777738500,2.99984369999999985e-05,3.16621669999999996e-05,2.99984369999999985e-05,3.16621669999999996e-05,141.553431100000012,4563640.37609400041,31661.7047956861352
1777738800,3.16621669999999996e-05,3.16621669999999996e-05,2.88455859999999988e-05,2.88455859999999988e-05,586.024835964999966,19862841.2639230005,28845.1649121355695
1777739100,2.88455859999999988e-05,2.88455859999999988e-05,2.45852190000000017e-05,2.49474740000000001e-05,1452.48396879000006,53551417.84026701,24947.1098167745477
1777739400,2.49474740000000001e-05,2.58951499999999989e-05,2.36597469999999984e-05,2.58951499999999989e-05,566.376584940000043,23189459.7314220071,25894.7719826002976
1777739700,2.58951499999999989e-05,2.75583679999999994e-05,2.47698520000000002e-05,2.73647389999999991e-05,445.258653949999996,17056206.040341001,27364.3395295400769
1777740000,2.73647389999999991e-05,2.76901400000000005e-05,2.73647389999999991e-05,2.76901400000000005e-05,69.6003034099999951,2514636.35441899998,27689.7357793362789
1777740300,2.76901400000000005e-05,2.76901400000000005e-05,2.59431180000000016e-05,2.59431180000000016e-05,219.533515660000006,8231441.00487700105,25942.7392823634364
1777740600,2.59431180000000016e-05,2.59431180000000016e-05,2.12010719999999994e-05,2.55291200000000006e-05,1156.05563426799995,49719684.3866540045,25528.747325906239
1777740900,2.55291200000000006e-05,2.59443120000000011e-05,2.3819439000000001e-05,2.3819439000000001e-05,469.52185836000001,19058445.2329480015,23819.0912838294789
1777741200,2.3819439000000001e-05,2.55317149999999992e-05,2.32986330000000011e-05,2.48323600000000002e-05,593.699933559999977,24441544.7473019958,24831.9974972087184
1777741500,2.48323600000000002e-05,2.48353860000000012e-05,1.96645670000000011e-05,2.08118430000000005e-05,803.036338692999948,37128691.3071770072,20811.5391887158876
1777741800,2.08118430000000005e-05,2.08118430000000005e-05,2.0326912999999999e-05,2.0326912999999999e-05,78.7992196299999961,3848078.01766599994,20326.6162677240245
1777742100,2.0326912999999999e-05,2.68231759999999986e-05,2.0326912999999999e-05,2.61237800000000008e-05,997.134918620000008,41698103.0515420064,26123.3986450595621
1777742400,2.61237800000000008e-05,3.01233440000000004e-05,2.61237800000000008e-05,2.80475310000000002e-05,1291.50140254000007,44328816.599838987,28047.1215621424635
1777742700,2.80475310000000002e-05,2.9310311999999999e-05,2.63611249999999991e-05,2.7554448999999999e-05,556.777493449999952,20031554.1742100008,27554.0467601534983
1777743000,2.7554448999999999e-05,2.89303019999999986e-05,2.7554448999999999e-05,2.89303019999999986e-05,156.811150919999989,5549406.11964900047,28929.8796754514042
1777743300,2.89303019999999986e-05,3.21533780000000027e-05,2.65536499999999994e-05,3.05058779999999986e-05,1869.48309981000011,63403937.6276279986,30505.4326751929548
1777743600,3.05058779999999986e-05,3.09580519999999996e-05,2.83577900000000008e-05,3.04943899999999999e-05,671.631364039999994,22677773.0051670037,30493.9448428947799
1777743900,3.04943899999999999e-05,3.04943899999999999e-05,2.84834350000000015e-05,2.90868560000000006e-05,332.89599389,11403853.0777149983,29086.4313900761117
1777744200,2.90868560000000006e-05,3.82707550000000032e-05,2.90868560000000006e-05,3.57482260000000022e-05,1638.47785212000008,47412130.1918799952,35747.7041473968566
1777744500,3.57482260000000022e-05,4.07262889999999999e-05,3.40338599999999967e-05,3.6330598000000002e-05,1295.8636925400001,34603950.9948450029,36330.0676459304013
1777744800,3.6330598000000002e-05,3.91930059999999987e-05,3.61433970000000021e-05,3.91930059999999987e-05,308.290142460000027,8194287.24098100048,39192.4338604984077
1777745100,3.91930059999999987e-05,4.75265089999999977e-05,3.83432120000000019e-05,4.12808710000000004e-05,2662.49637079000013,60574976.1826819927,41280.2683818451405
1777745400,4.12808710000000004e-05,4.1949086999999999e-05,3.43300160000000021e-05,4.1949086999999999e-05,2364.55980143999977,62514336.3069360107,41948.4746272279735
1777745700,4.1949086999999999e-05,4.22640499999999973e-05,4.00305029999999972e-05,4.00305029999999972e-05,250.61702901000001,6122183.38714800123,40029.9186347171999
1777746000,4.00305029999999972e-05,4.07363099999999989e-05,3.94062809999999971e-05,3.94062809999999971e-05,225.810752119999989,5675748.76217500027,39405.7057471099615
1777746300,3.94062809999999971e-05,3.94062809999999971e-05,3.74632369999999986e-05,3.89250230000000004e-05,315.902504080000028,8317528.25313900039,38924.4547725142475
1777746600,3.89250230000000004e-05,3.89788520000000025e-05,3.84271140000000017e-05,3.89788520000000025e-05,1.89589537000000008,48728.7401929999978,38978.2829867185064
1777746900,3.89788520000000025e-05,4.74038070000000009e-05,3.89788520000000025e-05,4.55408630000000018e-05,1563.5388822299999,35702994.3409949988,45540.1981944819272
1777747200,4.55408630000000018e-05,4.55408630000000018e-05,4.09376579999999978e-05,4.14862440000000031e-05,468.961589000000004,10948265.9655080009,41485.6383838100883
1777747500,4.14862440000000031e-05,4.35694170000000032e-05,4.14862440000000031e-05,4.3503846000000001e-05,202.470181889999992,4760025.51156900078,43503.2109308560903
1777747800,4.3503846000000001e-05,5.53649689999999978e-05,4.11286099999999986e-05,5.37446790000000032e-05,1815.31090119999999,37372600.1788550019,53743.8944351759637
1777748100,5.37446790000000032e-05,5.46002690000000016e-05,5.04015329999999987e-05,5.46002690000000016e-05,709.66734899000005,13576963.0096329972,54599.471945273137
1777748400,5.46002690000000016e-05,6.19596399999999982e-05,5.46002690000000016e-05,6.00204309999999969e-05,1874.7286544399999,31616274.733465001,60019.5548217482574
1777748700,6.00204309999999969e-05,6.47854439999999985e-05,5.42810339999999972e-05,6.29220059999999946e-05,1908.88951603999999,32419977.0819180012,62921.0874645564036
1777749000,6.29220059999999946e-05,6.47584839999999963e-05,5.84717119999999974e-05,6.47584839999999963e-05,1474.08222636300002,23918470.0074739978,64757.5386556505619
1777749300,6.47584839999999963e-05,6.47584839999999963e-05,5.36576629999999983e-05,5.95105520000000011e-05,1467.98236240999995,25029210.4604099989,59509.6832649619028
1777749600,5.95105520000000011e-05,5.95105520000000011e-05,5.59650369999999982e-05,5.59650369999999982e-05,228.172471959999996,3984300.17312499974,55964.220022389869
1777749900,5.59650369999999982e-05,7.04616470000000051e-05,5.16364259999999969e-05,7.04616470000000051e-05,3815.99458620999985,62211887.5110340044,70460.6184008770942
1777750200,7.04616470000000051e-05,0.000106185660000000006,6.73105430000000031e-05,8.54791529999999978e-05,10046.4232588399991,117242123.822002962,85477.9051753245003
1777750500,8.54791529999999978e-05,8.66924510000000032e-05,7.34689110000000007e-05,7.81402509999999938e-05,2333.45515577000015,30231842.9847749956,78139.1103086158982
1777750800,7.81402509999999938e-05,8.09563930000000039e-05,7.56043679999999964e-05,7.56043679999999964e-05,1295.86792889000003,16520484.5502679944,75603.2643274359289
1777751100,7.56043679999999964e-05,9.14710979999999935e-05,6.9199871999999998e-05,8.47082189999999951e-05,3779.20791109999982,47396492.9252970144,84706.982429419033
1777751400,8.47082189999999951e-05,8.47082189999999951e-05,7.29372080000000055e-05,7.94038800000000059e-05,2343.87963772000012,30062282.5548429899,79402.7208621597674
1777751700,7.94038800000000059e-05,8.28571300000000054e-05,7.71245560000000032e-05,8.20823719999999954e-05,922.459177029999978,11487518.7257539984,82081.1737615335442
1777752000,8.20823719999999954e-05,8.75981599999999948e-05,6.67176159999999967e-05,6.74955930000000056e-05,2966.13661031999982,39567717.7022729889,67494.6076993333845
1777752300,6.74955930000000056e-05,8.04340090000000006e-05,4.91171239999999967e-05,5.71196510000000006e-05,6339.91487115000018,98698637.9277880937,57118.8171673347024
1777752600,5.71196510000000006e-05,7.74223980000000005e-05,5.66337649999999973e-05,7.46770570000000061e-05,3167.51649022999982,48308412.3950119987,74675.9668643219193
1777752900,7.46770570000000061e-05,7.46770570000000061e-05,6.67263769999999957e-05,6.7718177999999998e-05,991.036218327000029,14243024.0630950052,67717.1894500375492
1777753200,6.7718177999999998e-05,8.0065281000000002e-05,6.60930019999999977e-05,7.68793119999999937e-05,1801.58034982999993,24247429.2415549979,76878.1897158034117
1777753500,7.68793119999999937e-05,7.83770220000000055e-05,6.94914699999999949e-05,7.00339250000000022e-05,664.229407929999979,9108434.74525999837,70032.9026447628567
