doc_id,module,gap_type,detail
CURRENT_CONTEXT_baf6f9ba3568,paper_runner,NO_TEST,缺少对应测试
CURRENT_CONTEXT_baf6f9ba3568,paper_runner,NO_SOURCE_TRACE,缺少源文件或来源追踪
CURRENT_CONTEXT_baf6f9ba3568,paper_runner,NO_ACCEPTANCE,缺少验收声明
CURRENT_CONTEXT_baf6f9ba3568,case_file,MISSING_MODULE,模块在映射中缺失或未接入
CURRENT_CONTEXT_baf6f9ba3568,case_file,SURFACE_TEMPLATE,缺失模块也没有表层模板
CURRENT_CONTEXT_baf6f9ba3568,case_file,NOT_RUNTIME_CONNECTED,未与 runtime 主流程连接
CURRENT_CONTEXT_baf6f9ba3568,case_file,NOT_VISIBLE_IN_TG,TG 中不可见
CURRENT_CONTEXT_baf6f9ba3568,case_file,NOT_VISIBLE_IN_WEB,Web 中不可见
CURRENT_CONTEXT_baf6f9ba3568,case_file,NOT_VISIBLE_IN_CLI,CLI 中不可见
CURRENT_CONTEXT_baf6f9ba3568,case_file,NO_TEST,缺少对应测试
CURRENT_CONTEXT_baf6f9ba3568,case_file,NO_SOURCE_TRACE,缺少源文件或来源追踪
CURRENT_CONTEXT_baf6f9ba3568,case_file,NO_ACCEPTANCE,缺少验收声明
CURRENT_CONTEXT_baf6f9ba3568,auto_review,MISSING_MODULE,模块在映射中缺失或未接入
CURRENT_CONTEXT_baf6f9ba3568,auto_review,SURFACE_TEMPLATE,缺失模块也没有表层模板
CURRENT_CONTEXT_baf6f9ba3568,auto_review,NOT_RUNTIME_CONNECTED,未与 runtime 主流程连接
CURRENT_CONTEXT_baf6f9ba3568,auto_review,NOT_VISIBLE_IN_TG,TG 中不可见
CURRENT_CONTEXT_baf6f9ba3568,auto_review,NOT_VISIBLE_IN_CLI,CLI 中不可见
CURRENT_CONTEXT_baf6f9ba3568,auto_review,NO_TEST,缺少对应测试
CURRENT_CONTEXT_baf6f9ba3568,auto_review,NO_SOURCE_TRACE,缺少源文件或来源追踪
CURRENT_CONTEXT_baf6f9ba3568,auto_review,NO_ACCEPTANCE,缺少验收声明
CURRENT_CONTEXT_baf6f9ba3568,unified_index,MISSING_MODULE,模块在映射中缺失或未接入
CURRENT_CONTEXT_baf6f9ba3568,unified_index,SURFACE_TEMPLATE,缺失模块也没有表层模板
CURRENT_CONTEXT_baf6f9ba3568,unified_index,NOT_RUNTIME_CONNECTED,未与 runtime 主流程连接
