doc_id,module,gap_type,detail
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,state_machine,NOT_VISIBLE_IN_CLI,CLI 中不可见
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,state_machine,NO_TEST,缺少对应测试
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,state_machine,NO_SOURCE_TRACE,缺少源文件或来源追踪
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,state_machine,NO_ACCEPTANCE,缺少验收声明
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,paper_runner,NOT_VISIBLE_IN_WEB,Web 中不可见
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,paper_runner,NOT_VISIBLE_IN_CLI,CLI 中不可见
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,paper_runner,NO_TEST,缺少对应测试
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,paper_runner,NO_ACCEPTANCE,缺少验收声明
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,case_file,MISSING_MODULE,模块在映射中缺失或未接入
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,case_file,SURFACE_TEMPLATE,缺失模块也没有表层模板
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,case_file,NOT_RUNTIME_CONNECTED,未与 runtime 主流程连接
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,case_file,NOT_VISIBLE_IN_TG,TG 中不可见
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,case_file,NOT_VISIBLE_IN_WEB,Web 中不可见
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,case_file,NOT_VISIBLE_IN_CLI,CLI 中不可见
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,case_file,NO_TEST,缺少对应测试
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,case_file,NO_SOURCE_TRACE,缺少源文件或来源追踪
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,case_file,NO_ACCEPTANCE,缺少验收声明
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,auto_review,MISSING_MODULE,模块在映射中缺失或未接入
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,auto_review,SURFACE_TEMPLATE,缺失模块也没有表层模板
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,auto_review,NOT_RUNTIME_CONNECTED,未与 runtime 主流程连接
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,auto_review,NOT_VISIBLE_IN_TG,TG 中不可见
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,auto_review,NOT_VISIBLE_IN_CLI,CLI 中不可见
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,auto_review,NO_TEST,缺少对应测试
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,auto_review,NO_SOURCE_TRACE,缺少源文件或来源追踪
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,auto_review,NO_ACCEPTANCE,缺少验收声明
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,unified_index,MISSING_MODULE,模块在映射中缺失或未接入
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,unified_index,SURFACE_TEMPLATE,缺失模块也没有表层模板
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,unified_index,NOT_RUNTIME_CONNECTED,未与 runtime 主流程连接
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,unified_index,NOT_VISIBLE_IN_CLI,CLI 中不可见
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,unified_index,NO_TEST,缺少对应测试
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,unified_index,NO_SOURCE_TRACE,缺少源文件或来源追踪
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,unified_index,NO_ACCEPTANCE,缺少验收声明
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,telegram,NOT_VISIBLE_IN_WEB,Web 中不可见
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,telegram,NOT_VISIBLE_IN_CLI,CLI 中不可见
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,telegram,NO_TEST,缺少对应测试
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,telegram,NO_ACCEPTANCE,缺少验收声明
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,web_dashboard,NOT_VISIBLE_IN_TG,TG 中不可见
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,web_dashboard,NOT_VISIBLE_IN_CLI,CLI 中不可见
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,web_dashboard,NO_TEST,缺少对应测试
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,web_dashboard,NO_ACCEPTANCE,缺少验收声明
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,cli,NOT_VISIBLE_IN_TG,TG 中不可见
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,cli,NOT_VISIBLE_IN_WEB,Web 中不可见
SIKK_candidate_discovery_wallet_structure_telegram_web_dashboard_cli_runtime_paper_runner_hermes_execution_repomix_context_paper-only_1f728e37f1fa,cli,NO_TEST,缺少对应测试
