timestamp,open,high,low,close,volume,amount,market_cap
1777487400,3.06121280000000011e-05,3.82470569999999974e-05,8.41538100000000046e-06,1.23589240000000002e-05,25031.3214483800002,1595565324.25765538,12358.8677668958007
1777487700,1.23589240000000002e-05,1.89011330000000013e-05,9.81871330000000008e-06,1.40459629999999995e-05,7657.05174748700028,560695667.703919053,14045.89909086835
1777488000,1.40459629999999995e-05,2.29644239999999989e-05,1.24051659999999997e-05,2.25415859999999995e-05,6647.06890332799958,380431989.396949172,22541.483435783699
1777488300,2.25415859999999995e-05,2.74942560000000017e-05,1.77032310000000017e-05,2.70799879999999987e-05,4239.2949373700003,202365264.999288082,27079.8647860545971
1777488600,2.70799879999999987e-05,2.8019345000000001e-05,2.05854840000000009e-05,2.73572289999999989e-05,3395.53387010999995,140845266.699253976,27357.1045246080503
1777488900,2.73572289999999989e-05,3.93436730000000002e-05,2.60962820000000003e-05,3.14318910000000018e-05,7700.97692369000015,229319008.779872119,31431.747984895952
1777489200,3.14318910000000018e-05,3.23532629999999995e-05,1.67186999999999997e-05,1.7736403e-05,5035.54302578999977,214263130.478909105,17736.3222993663512
1777489500,1.7736403e-05,1.83918679999999983e-05,1.48995470000000005e-05,1.67620109999999999e-05,3462.52079176999996,208669139.808014929,16761.9347328499498
1777489800,1.67620109999999999e-05,2.3296955000000001e-05,1.53528270000000003e-05,2.2866950999999999e-05,2135.89988377000009,115892007.149657011,22866.8469553729483
1777490100,2.2866950999999999e-05,2.6343968999999999e-05,1.8010087e-05,1.8010087e-05,2308.50860229,104361891.361393973,18010.0050541041492
1777490400,1.8010087e-05,1.84659200000000002e-05,1.24525050000000001e-05,1.28261170000000006e-05,3122.53739484000016,204479114.803312927,12826.0586411676504
1777490700,1.28261170000000006e-05,2.04332129999999983e-05,1.19167689999999993e-05,1.74196499999999985e-05,4003.66389134000019,260805466.005654037,17419.5707405924986
1777491000,1.74196499999999985e-05,2.25463110000000014e-05,1.73298230000000009e-05,2.24676130000000004e-05,2501.73671594000007,125176113.981950015,22467.5107723608489
1777491300,2.24676130000000004e-05,2.66437260000000015e-05,2.2174806999999999e-05,2.66437260000000015e-05,1550.06729543799997,65050747.1435510144,26643.6047710467028
