timestamp,time_utc,open,high,low,close,volume,market_cap,volume_ma20,rvol,obv,cmf20,mfi14,atr14,atr_pct,avwap,swing,structure_tag,lower_wick_ratio,accumulation_score,score_reasons
1777714920,2026-05-02 09:42:00 UTC,5.1644058e-05,6.4137588e-05,4.9428113e-05,5.6565469e-05,14752.66378504,56565.469000000005,,,0.0,,,,,5.671039e-05,,,0.1506474568262976,30,未继续大幅创新低;接近/站上开盘AVWAP
1777714980,2026-05-02 09:43:00 UTC,5.6565469e-05,6.582471e-05,3.9363833e-05,3.9363833e-05,13182.92345979,39363.833,,,-13182.92345979,,,,,5.268680912756352e-05,,,0.0,0,
1777715040,2026-05-02 09:44:00 UTC,3.9363833e-05,5.4263984e-05,3.9363833e-05,5.0887312e-05,8001.54078778,50887.312000000005,,,-5181.38267201,,,,,5.1681504739731885e-05,SL,,0.0,15,未继续大幅创新低
1777715100,2026-05-02 09:45:00 UTC,5.0887312e-05,7.1984518e-05,4.9640915e-05,6.5291131e-05,10514.28943382,65291.131,,,5332.906761810001,,,,,5.4086253432181576e-05,,,0.0557831697958472,50,未继续大幅创新低;OBV上升/未跟随创新低;接近/站上开盘AVWAP
1777715160,2026-05-02 09:46:00 UTC,6.5291131e-05,7.5904276e-05,5.8242284e-05,7.3176885e-05,11608.88251293,73176.88500000001,,,16941.78927474,,,,,5.708974365637161e-05,,,0.39909694217956837,60,未继续大幅创新低;OBV上升/未跟随创新低;明显下影线;接近/站上开盘AVWAP
1777715220,2026-05-02 09:47:00 UTC,7.3176885e-05,8.6742239e-05,6.8738764e-05,6.948025e-05,13783.040186875,69480.25,,,3158.7490878650005,,,,,6.052332240170798e-05,SH,,0.04118571553547272,50,未继续大幅创新低;OBV上升/未跟随创新低;接近/站上开盘AVWAP
1777715280,2026-05-02 09:48:00 UTC,6.948025e-05,6.948025e-05,4.6402027e-05,5.0216141e-05,12335.9608552,50216.141,,,-9177.211767335,,,,,5.9767568817601e-05,SL,HL,0.1652689637326063,15,未继续大幅创新低
1777715340,2026-05-02 09:49:00 UTC,5.0216141e-05,6.1946533e-05,4.9495585e-05,6.0851866e-05,9566.35362759,60851.866,,,389.1418602550002,,,,,5.952916517207679e-05,,,0.057871577328890984,30,未继续大幅创新低;接近/站上开盘AVWAP
1777715400,2026-05-02 09:50:00 UTC,6.0851866e-05,7.6126829e-05,6.0770856e-05,7.2870769e-05,11057.85185187,72870.769,,,11446.993712125,,,,,6.062580284201928e-05,SH,LH,0.00527547163569525,50,未继续大幅创新低;OBV上升/未跟随创新低;接近/站上开盘AVWAP
1777715460,2026-05-02 09:51:00 UTC,7.2870769e-05,7.3328662e-05,5.3202344e-05,5.4922299e-05,11849.73619719,54922.299,,,-402.74248506500044,,,,,6.061144257567821e-05,,,0.08545800578128601,35,未继续大幅创新低;OBV上升/未跟随创新低
1777715520,2026-05-02 09:52:00 UTC,5.4922299e-05,5.9813821e-05,3.3118449e-05,3.3444309e-05,11437.029882846,33444.309,,,-11839.772367911,,,,,5.896085684254299e-05,,,0.012206610194456189,20,OBV上升/未跟随创新低
1777715580,2026-05-02 09:53:00 UTC,3.3444309e-05,4.6663815e-05,3.291745e-05,4.1985232e-05,10286.51423777,41985.232,,,-1553.258130141001,,,,,5.7590179985051e-05,SL,LL,0.03832715048669214,35,未继续大幅创新低;OBV上升/未跟随创新低
