timestamp,time_utc,open,high,low,close,volume,market_cap,volume_ma20,rvol,obv,cmf20,mfi14,atr14,atr_pct,avwap,swing,structure_tag,lower_wick_ratio,accumulation_score,score_reasons
1777672800,2026-05-01 22:00:00 UTC,0.00020123152,0.00022940315,0.00016991517,0.0001963651,22095.28331339,196364.9209150288,,,0.0,,,,,0.00019856114,,,0.44462646067323175,40,未继续大幅创新低;明显下影线;接近/站上开盘AVWAP
1777672860,2026-05-01 22:01:00 UTC,0.0001963651,0.00021841426,0.00017184203,0.00018758552,18327.56974255,187585.34892200577,,,-18327.56974255,,,,,0.00019586470034706522,,,0.33804458150275385,15,未继续大幅创新低
1777672920,2026-05-01 22:02:00 UTC,0.00018758552,0.00024588019,0.00018045429,0.000180706,16961.5200872,180705.835196128,,,-35289.089829749995,,,,,0.00019778066997007453,SH,,0.003847253152038819,15,未继续大幅创新低
1777672980,2026-05-01 22:03:00 UTC,0.000180706,0.00019309072,0.00016188171,0.00016253261,11844.45719531,162532.4617702597,,,-47133.54702506,,,,,0.00019345565229785016,,,0.020856156603493593,0,
1777673040,2026-05-01 22:04:00 UTC,0.00016253261,0.00023918612,0.00015648366,0.00023918612,16513.38382429,239185.90186225856,,,-30620.16320077,,,,,0.00019695372241606472,SL,,0.07314111333568563,50,未继续大幅创新低;OBV上升/未跟随创新低;接近/站上开盘AVWAP
1777673100,2026-05-01 22:05:00 UTC,0.00023918612,0.0002431021,0.00017086682,0.00022077653,18590.64329041,220776.32865180465,,,-49210.80649118,,,,,0.0001995602424412021,SH,LH,0.6909326024623977,40,未继续大幅创新低;明显下影线;接近/站上开盘AVWAP
1777673160,2026-05-01 22:06:00 UTC,0.00022077653,0.00023802483,0.00018254321,0.00019363558,22500.7968788,193635.40340435106,,,-71711.60336998,,,,,0.0002004781834953664,,,0.19992873315523266,15,未继续大幅创新低
1777673220,2026-05-01 22:07:00 UTC,0.00019363558,0.00024271956,0.00015247145,0.00019000986,16332.98967498,190009.68671100767,,,-88044.59304496,,,,,0.0001998608503690982,SL,LL,0.41594677162768284,25,未继续大幅创新低;明显下影线
1777673280,2026-05-01 22:08:00 UTC,0.00019000986,0.00023328653,0.0001719967,0.00021358298,18491.57798161,213582.78521232223,,,-69553.01506335,,,,,0.00020059611616174582,,,0.2939012883540385,30,未继续大幅创新低;接近/站上开盘AVWAP
1777673340,2026-05-01 22:09:00 UTC,0.00021358298,0.00022049911,0.00018234735,0.00019138214,10958.98856657,191381.9654594883,,,-80512.00362992,,,,,0.00020043613366454012,,,0.23681187971406784,15,未继续大幅创新低
1777673400,2026-05-01 22:10:00 UTC,0.00019138214,0.00023874541,0.00019138214,0.00023257356,13561.44246872,232573.3478929133,,,-66950.56116119999,,,,,0.00020192676945560533,SH,LH,0.0,50,未继续大幅创新低;OBV上升/未跟随创新低;接近/站上开盘AVWAP
1777673460,2026-05-01 22:11:00 UTC,0.00023257356,0.00023706904,0.00022055106,0.00022757934,4219.50271142,227579.13244764192,,,-71170.06387262,,,,,0.0002025134509809082,,,0.42549270552452567,40,未继续大幅创新低;明显下影线;接近/站上开盘AVWAP
1777673520,2026-05-01 22:12:00 UTC,0.00022757934,0.00022761782,0.0002124458,0.00021844242,4310.10137111,218442.22078051296,,,-75480.16524372999,,,,,0.00020288951323413034,,,0.39524203105453415,60,未继续大幅创新低;OBV上升/未跟随创新低;明显下影线;接近/站上开盘AVWAP
1777673580,2026-05-01 22:13:00 UTC,0.00021844242,0.00021845286,0.00019561256,0.00019643188,4374.84203889,196431.70085412546,,,-79855.00728261999,,40.82706874765626,5.033555357142859e-05,0.2562494111008284,0.00020290290887555409,,,0.035871682946371775,15,未继续大幅创新低
1777673640,2026-05-01 22:14:00 UTC,0.00019643188,0.00020961966,0.00019388327,0.00019575664,3152.20192723,195756.4614699443,,,-83007.20920984999,,40.12539247944169,4.721044000000002e-05,0.2411690351857287,0.0002028538148259144,,,0.11904699870808917,15,未继续大幅创新低
1777673700,2026-05-01 22:15:00 UTC,0.00019575664,0.00019963581,0.00018898558,0.00019496204,1970.28742614,194961.86219461952,,,-84977.49663598998,,43.89574553235587,4.464458285714287e-05,0.228991155699555,0.00020277348096855478,SL,HL,0.5611578341500602,25,未继续大幅创新低;明显下影线
1777673760,2026-05-01 22:16:00 UTC,0.00019496204,0.00019869173,0.00018943969,0.00019132671,2069.27365621,191326.53551004047,,,-87046.77029219999,,36.997626098021286,4.063216428571429e-05,0.2123705795480113,0.00020267696892772884,,,0.20395718133514365,25,未继续大幅创新低;ATR%收缩
1777673820,2026-05-01 22:17:00 UTC,0.00019132671,0.00019772625,0.00019041867,0.00019315531,1747.93418896,193155.1338423573,,,-85298.83610323998,,40.368787664876116,3.892491928571429e-05,0.20152135235481897,0.00020260209978731957,,,0.12426001494338632,35,未继续大幅创新低;MFI低位抬升;ATR%收缩
1777673880,2026-05-01 22:18:00 UTC,0.00019315531,0.00020036945,0.0001898217,0.00019770936,2319.45449171,197709.1796890637,,,-82979.38161152999,,33.318731753217165,3.377101142857143e-05,0.1708113942029423,0.00020252893240992514,SH,LH,0.3160493944206114,45,未继续大幅创新低;OBV上升/未跟随创新低;ATR%收缩
1777673940,2026-05-01 22:19:00 UTC,0.00019770936,0.00019912721,0.00019089644,0.00019807494,1622.76501251,198074.7593556547,10598.2507924005,0.15311630610530627,-81356.61659901998,-0.11983610820934441,40.20944114492708,2.9199260714285714e-05,0.14741521928157955,0.0002024791997048645,,,0.8277378665665552,65,未继续大幅创新低;OBV上升/未跟随创新低;MFI低位抬升;明显下影线;ATR%收缩
1777674000,2026-05-01 22:20:00 UTC,0.00019807494,0.00019922409,0.00018905322,0.00019913811,1937.71837741,199137.9283860437,9590.3725456015,0.20204829042837438,-79418.89822160998,-0.10974087416119009,49.72098111843908,2.5962778571428577e-05,0.13037574059243898,0.00020241874022458304,SL,HL,0.887015565040158,65,未继续大幅创新低;OBV上升/未跟随创新低;MFI低位抬升;明显下影线;ATR%收缩
1777674060,2026-05-01 22:21:00 UTC,0.00019913811,0.000200501,0.00019039252,0.00019768023,2303.51844194,197680.04971563024,8789.169980571,0.26208600437038637,-81722.41666354999,-0.08018216451299964,61.687791937204764,2.0238519285714284e-05,0.10238008770889373,0.00020235239090118305,,,0.7209501329576734,65,未继续大幅创新低;OBV上升/未跟随创新低;MFI低位抬升;明显下影线;ATR%收缩
1777674120,2026-05-01 22:22:00 UTC,0.00019768023,0.00020205138,0.00018968923,0.00019875054,2190.8544388,198750.3587395075,8050.636698150998,0.2721343070049574,-79531.56222474999,0.023334816087793843,50.65878478941591,1.6743685000000003e-05,0.08424472708350882,0.00020229699678469767,SH,HH,0.6464085939743491,80,未继续大幅创新低;OBV上升/未跟随创新低;CMF20>0;MFI低位抬升;明显下影线;ATR%收缩
