timestamp,time_utc,open,high,low,close,volume,market_cap,volume_ma20,rvol,obv,cmf20,mfi14,atr14,atr_pct,avwap,swing,structure_tag,lower_wick_ratio,accumulation_score,score_reasons
1777547340,2026-04-30 11:09:00 UTC,8.8882153e-05,0.00010530742,8.2218779e-05,9.0068963e-05,11021.056232815,90068.963,,,0.0,,,,,9.253172066666667e-05,,,0.2885996624920457,15,未继续大幅创新低
1777547400,2026-04-30 11:10:00 UTC,9.0068963e-05,9.4463031e-05,7.3241195e-05,8.2956767e-05,7321.24111657,82956.76699999999,,,-7321.24111657,,,,,8.894817200193599e-05,,,0.45781015365494243,25,未继续大幅创新低;明显下影线
1777547460,2026-04-30 11:11:00 UTC,8.2956767e-05,9.0618038e-05,5.1895244e-05,5.1895244e-05,7706.31527781,51895.244,,,-15027.55639438,,,,,8.180493070364805e-05,,,0.0,0,
1777547520,2026-04-30 11:12:00 UTC,5.1895244e-05,6.1758773e-05,4.8558984e-05,5.6313173e-05,5564.62867472,56313.173,,,-9462.927719660001,,,,,7.718236412338844e-05,SL,,0.2527510098835667,35,未继续大幅创新低;OBV上升/未跟随创新低
1777547580,2026-04-30 11:13:00 UTC,5.6313173e-05,6.1443535e-05,5.6175633e-05,5.9509816e-05,1050.38747544,59509.816,,,-8412.540244220001,,,,,7.65990435554383e-05,,,0.02610906581025981,15,未继续大幅创新低
1777547640,2026-04-30 11:14:00 UTC,5.9509816e-05,7.9024787e-05,5.9509816e-05,7.4285629e-05,3931.96660818,74285.629,,,-4480.573636040001,,,,,7.599102321889992e-05,SH,,0.0,35,未继续大幅创新低;OBV上升/未跟随创新低
1777547700,2026-04-30 11:15:00 UTC,7.4285629e-05,7.8137485e-05,5.5957564e-05,5.9530456e-05,3430.89966187,59530.456,,,-7911.473297910001,,,,,7.500964785884434e-05,SL,HL,0.16108677754082168,35,未继续大幅创新低;OBV上升/未跟随创新低
1777547760,2026-04-30 11:16:00 UTC,5.9530456e-05,6.6362624e-05,5.9530456e-05,6.5441442e-05,1940.20955721,65441.441999999995,,,-5971.263740700001,,,,,7.449039305607178e-05,,,0.0,35,未继续大幅创新低;OBV上升/未跟随创新低
1777547820,2026-04-30 11:17:00 UTC,6.5441442e-05,6.9523685e-05,6.0630671e-05,6.924054e-05,2480.55873892,69240.54000000001,,,-3490.705001780001,,,,,7.404250170408138e-05,,,0.5409606911672455,45,未继续大幅创新低;OBV上升/未跟随创新低;明显下影线
1777547880,2026-04-30 11:18:00 UTC,6.924054e-05,7.0783234e-05,6.2730067e-05,7.0102742e-05,2908.19145322,70102.742,,,-582.5135485600013,,,,,7.366355995997122e-05,,,0.8084363580191499,45,未继续大幅创新低;OBV上升/未跟随创新低;明显下影线
